Date,Sentence,Prediction,sentimentScore
2007-01-02,"Business groups have started using “speed networking,” a corporate equivalent of speed dating, to explore business prospects.",neutral,0.029700174927711487
2007-01-02,The Hasty Hello,neutral,-0.07280126214027405
2007-03-01,"Oracle is near a deal to acquire Hyperion Solutions, which makes business analysis software, for about $3 billion.",neutral,0.08802110701799393
2007-03-01,Oracle Deal for Hyperion Is Expected,neutral,0.040366172790527344
2007-03-01," Oracle said Thursday it would buy Hyperion Solutions, which makes software that allows corporations to analyze and track their performance, for $3.3 billion in cash.",neutral,0.22577066719532013
2007-03-01,"The deal would be the latest trophy in a lengthy string of acquisitions for the database software giant, which has been struggling to grow from within.",neutral,0.4494349956512451
2007-03-01,Oracle to Buy Hyperion for $3.3 Billion,neutral,0.030940499156713486
2007-03-02,"The database software said it would buy Hyperion, which makes business analysis software, for $3.3 billion.",neutral,0.08138176798820496
2007-03-02,Oracle Acquires Hyperion Solutions,neutral,0.048281099647283554
2007-03-12,"Warren E. Buffett, dubbed the Oracle of Omaha for his savvy investments in publicly-traded companies, may be facing some competition from buyout shops.",negative,-0.39839738607406616
2007-03-12,"BusinessWeek notes that private equity firms, with their coffers bulging with unprecedented amounts of cash, are taking minority stakes in public companies.",neutral,0.0926399901509285
2007-03-12,"And, the magazine says, their involvement is causing the halo effect usually reserved for the likes of Mr. Buffett, signaling that there may be a new player to mimic in the market.",neutral,0.23344933986663818
2007-03-12,Is Private Equity the Next Oracle of Omaha?,neutral,0.001879468560218811
2007-03-13,"Oracle‘s $3.3 billion acquisition of Hyperion Solutions, announced March 1, is turning out to be a very sweet deal for some company insiders.",neutral,0.4464471638202667
2007-03-13,"The announcement that Oracle would pay $52 dollar a share for the Santa Clara-based maker of business intelligence software, a big premium over the $42.84 the stock had closed at the previous day, caused Hyperion’s stock to jump 20.4 percent to $51.57 by the close of the market.",positive,0.8727235198020935
2007-03-13,Timing Is Everything for Hyperion Insiders,neutral,0.01946042850613594
2007-03-21,Lawrence J. Ellison’s three-year buying spree as chief executive of Oracle appears to be paying off.,positive,0.4787525534629822
2007-03-21,Oracle Says Profit Rose 35% to Exceed Expectations,positive,0.9252926707267761
2007-03-23,"Oracle has sued its rival SAP, accusing the big German software maker of intruding into its computer systems to carry out “corporate theft on a grand scale.”",negative,-0.9202996492385864
2007-03-23,Oracle Says Rival Stole Its Software,negative,-0.8528425097465515
2007-03-23,"The ferocious and long-running battle between Oracle and its German rival, SAP, for pole position in the business software industry took a turn for the courthouse Thursday.",negative,-0.4869897663593292
2007-03-23,Oracle sued SAP accusing the world’s No.1 business software maker of intruding into its computer systems to carry out “corporate theft on a grand scale.”,negative,-0.9158947467803955
2007-03-23,Oracle Says SAP Stole Its Software,negative,-0.8378448486328125
2007-04-12,"Look out Bill Gates, here comes Carlos Slim Helu.",neutral,0.029697705060243607
2007-04-12,"The Mexican telecoms mogul has breezed past Warren Buffett and is gaining on the Microsoft co-founder on the list of the world’s richest men, according to Forbes.",positive,0.4681868553161621
2007-04-12,Mexican Midas Edges Out Oracle of Omaha on Forbes List,neutral,-0.022413820028305054
2007-04-17,Who says venture capitalists have no sense of humor?,neutral,-0.32662150263786316
2007-04-17,"Well, if anyone was saying it, a recent venture by Sequoia Capital would put the kibosh on that notion.",neutral,-0.04393445700407028
2007-04-17,"The investment firm which has backed YouTube, Google, Yahoo, Oracle and Apple, among others, has partnered up up with funny man Will Ferrell and writer-director-producer Adam Mckay to launch FunnyOrDie.com, a comedy video site that began its beta release Thursday.",positive,0.5248825550079346
2007-04-17,Sequoia Gets Its Kicks With Will Ferrell Web Site,neutral,0.03758424147963524
2007-04-23,"In a deal that seems to have won only praise from analysts, Business Objects, a French-American software company, said it would acquire Cartesis for about $300 million in cash, bolstering its presence in financial enterprise software.",positive,0.9193442463874817
2007-04-23,"Business Objects, which makes so-called business intelligence software, has felt pressure to cut a deal since Oracle bought a rival, Hyperion Solutions, for $3.3 billion last month.",negative,-0.943622887134552
2007-04-23,Business Objects to Buy Cartesis for $300 Million,neutral,0.034026265144348145
2007-04-24,Oracle is still hungry.,neutral,0.0482868030667305
2007-04-24,"The database software giant, which has been making a steady stream of acquisitions as its organic growth has stalled, said Tuesday it would buy Lodestar, which makes software applications used by energy companies.",neutral,0.1001896858215332
2007-04-24,Terms were not disclosed.,neutral,0.01439762394875288
2007-04-24,Oracle to Buy Maker of Software for Utilities,neutral,0.04881174489855766
2007-05-09,"The German software maker SAP said Tuesday that it had agreed to buy OutlookSoft, a planning, budgeting, forecasting, and consolidation software maker that competes with Oracle.",positive,0.8058708906173706
2007-05-09,SAP Buys OutlookSoft to Advance in Battle Against Oracle,positive,0.6350895166397095
2007-05-15,"In the latest crackdown on illicit pillow talk, the Securities and Exchange Commission on Monday accused a former Oracle vice president of improperly profiting from his wife’s knowledge about two deals engineered by her boss, Oracle’s chief executive, Lawrence J. Ellison.",negative,-0.9029973745346069
2007-05-15,Another Couple’s Sweet Nothings Lead to Insider Trading Charges,negative,-0.5306587815284729
2007-05-16,"The business software maker Oracle made yet another acquisition on Tuesday with a $495 million deal to buy Agile Software, which specializes in software that helps companies manage crucial products.",positive,0.6758766174316406
2007-05-16,Oracle Buys Agile Software in Arms Race With SAP,neutral,0.27324268221855164
2007-05-19,"Facing foot surgery, Harry Hurt III crisscrosses Manhattan in pursuit of a walking stick.",neutral,-0.1742595136165619
2007-05-19,Walking Slowly and Carrying a Big Stick,neutral,0.05401121824979782
2007-05-22,Agile Software had already seen two of its largest rivals snatched up before Oracle acquired it for $495 million.,neutral,0.0896473228931427
2007-05-22,"The Agile deal brings Oracle head-to-head with SAP in the manufacturing-related ERP software arena, The 451 Group wrote in a report.",positive,0.8292765617370605
2007-05-22,"Back in August, when Agile’s stock was in the low $5 range, The 451 Group said that it expected the company to be acquired.",neutral,0.04108854755759239
2007-05-22,"Earlier this month, Oracle agreed to pay $8.10 a share for Agile.",neutral,0.3073977828025818
2007-05-22,Behind Oracle’s Play for Agile,neutral,0.03432532399892807
2007-06-05,"Big-ticket acquisitions by Cisco Systems, Oracle and a variety of buyout firms helped drive software mergers and acquisitions to record levels so far this year.",positive,0.8774888515472412
2007-06-05,"An analyst firm, The 451 Group, takes a look at the nearly $28 billion in software deal activity in the first five months of 2007.",neutral,0.0012635737657546997
2007-06-05,Software Deals Set Torrid Pace in 2007,negative,-0.8143453001976013
2007-06-27,"The software company beat Wall Street’s projections as it claimed substantial gains over its rivals, SAP and I.B.M.",positive,0.883055567741394
2007-06-27,Oracle Reports 23% Increase in Earnings,positive,0.8622647523880005
2007-06-27,"The software company continued to ride its three-year buying spree, leading its executives to claim substantial gains over its competitors.",positive,0.9107732176780701
2007-06-27,"Oracle’s Revenue Climbs 20%, Helped by Acquisitions",positive,0.9180163741111755
2007-06-28,"For the social software side of Enterprise 2.0, there may be a short window of opportunity for M&A, according to the analyst firm The 451 Group, which takes a look at the potential buyers and sellers in the market for wiki and blogging software.",neutral,-0.012794796377420425
2007-06-28,Among the potential acquisition targets named in the report are Six Apart and Atlassian Software Systems; 451 Group analyst Kathleen Reidy considers the software giant Oracle to be the most logical buyer of such assets.,neutral,0.12161292880773544
2007-06-28,Will Blogging Software Firms Attract Buyers?,neutral,0.2273683100938797
2007-06-28,"Oracle has its binge of acquisitions to thank for its better-than-expected quarterly profits and sales, according to the software company and some of the analysts who cover it.",positive,0.751345694065094
2007-06-28,Oracle’s Deal Spree May Be Paying Off,neutral,0.3160632252693176
2007-07-02,A new report from IDC shows Microsoft and Oracle giving new competition to the leaders in this rapidly growing market.,positive,0.7756925821304321
2007-07-02,Business Intelligence Software Grows Up,neutral,0.15655528008937836
2007-07-03,"NetSuite, the business software company controlled by the founder of Oracle, Larry Ellison, filed Monday with regulators to hold an initial public offering.",neutral,0.00794641487300396
