Date,Sentence,Prediction,sentimentScore
2014-01-29,"Dell said it would offer networking equipment that was built with nonspecialized semiconductors and an open-source operating system, as opposed to the highly proprietary gear.",neutral,0.07414481043815613
2014-01-29,Open-Source System to Be Offered by Dell,neutral,0.0401298925280571
2014-02-13,"Cisco just reported a tough quarter, the latest sign of an incumbent struggling to adapt to a world of cloud computing, mobility, sensors, and lots of cheap competition.",negative,-0.955491840839386
2014-02-13,"In an interview, John Chambers, Cisco’s chief executive, pointed to a number Wall Street didn’t hear that gave him confidence about his strategy.",positive,0.45737579464912415
2014-02-13,The Number Cisco Left Out,neutral,-0.29912373423576355
2014-02-20,The networking equipment company said on Thursday that it had reached an agreement with Elliott Management to nominate two new directors to its board and return more money to shareholders.,positive,0.8186943531036377
2014-02-20,Juniper Networks Reaches Deal With Hedge Fund,positive,0.36246776580810547
2014-03-24,"The biggest name in computer networking announces a plan to link public and private cloud computing systems in a secure and reliable system, the “Intercloud.”",positive,0.6471192836761475
2014-03-24,Cisco Bets a Billion on the Cloud,neutral,0.03182781860232353
2014-03-27,"Some of the largest multinational corporations have formed a global standards body intended to speed the connection of factories, oil rigs and hospitals to intricate systems of sensors and computers.",neutral,0.10474983602762222
2014-03-27,Consortium Wants Standards for ‘Internet of Things’,neutral,0.04670646786689758
2014-04-11,"Hardware like home routers and printers is connected to the Internet, and the Heartbleed bug is built into some of it.",neutral,-0.030710391700267792
2014-04-11,"Daily Report: Security Flaw Could Extend to Digital Devices, Experts Say",negative,-0.747634768486023
2014-04-14,The developers of the Hudson Yards on Manhattan’s West Side are forming a partnership with the researchers at N.Y.U.’s Center for Urban Science and Progress to create a “quantified community” that uses data science to study and improve the urban environment.,positive,0.7599123120307922
2014-04-14,Huge New York Development Project Becomes a Data Science Lab,neutral,0.016185373067855835
2014-04-24,The Heartlbleed bug that weakened the security of millions of web servers and Internet-connected devices also exposed a flaw in open-source software maintenance that many have promised to fix.,negative,-0.8889607787132263
2014-04-24,Companies Back Initiative to Support OpenSSL and Other Open-Source Projects,positive,0.5314821600914001
2014-05-01,"Microsoft raced to issue a fix Thursday to a vulnerability in its Internet Explorer browser, which security researchers believe was being exploited by nation-state sponsored attack groups.",negative,-0.27722859382629395
2014-05-01,"Attackers Use Microsoft Security Hole Against Energy, Defense, Finance Targets",negative,-0.5187541842460632
2014-05-15,"Cisco’s stock has rebounded to last November’s levels on better-than-expected performance, but the chief executive remains focused on complex, high-performance and expensive architectures of networks.",positive,0.8468329906463623
2014-05-15,"For Cisco, Higher Stock Price Is Still Chasing Ambition",positive,0.6653326749801636
2014-05-27,"A state-run newspaper says the network equipment maker has close ties with the U.S. government and military, which the company denies.",negative,-0.638604462146759
2014-05-27,China Pulls Cisco Into Dispute on Cyberspying,negative,-0.93483567237854
2014-06-05,"Just days after federal agents seized two computer networks used to distribute ransomware, security researchers said a new exploit kit was being used to distribute ransomware with disturbing success rates.",neutral,0.19554008543491364
2014-06-05,"Days After a Federal Seizure, Another Type of Ransomware Gains Ground",negative,-0.5261335968971252
2014-06-07,Internet companies like Google and Facebook are working to keep governments and their spy agencies out of their servers after revelations that they had been invaded.,negative,-0.8406630754470825
2014-06-07,Internet Giants Erect Barriers to Spy Agencies,neutral,-0.20497086644172668
2014-06-18,"The Internet company joins Google, LinkedIn and a host of older tech companies in disclosing the gender and ethnic breakdown of its work force.",neutral,0.048927947878837585
2014-06-18,"Yahoo Reveals Work Force Data, Joining Tech’s Small Diversity Parade",positive,0.3396983742713928
2014-07-23,"“It’s a production model, not a business model,” says one executive.",neutral,-0.058288514614105225
2014-07-23,And a tough one too.,negative,-0.5794557332992554
2014-07-23,The latest case in point is a move by Big Switch Networks to change the way it hopes to demolish Cisco.,neutral,0.048120539635419846
2014-07-23,Open Source and the Challenge of Making Money,neutral,0.04775470122694969
2014-08-13,"In a conference call, Cisco executives said the company planned to cut up to 6,000 jobs, or 8 percent of its work force, in the coming months.",negative,-0.9607614874839783
2014-08-13,"With Profits Slipping, Cisco Plans to Cut Jobs",negative,-0.957441508769989
2014-08-14,"In a conference call, Cisco executives said the company planned to cut up to 6,000 jobs, or 8 percent of its work force, in the coming months.",negative,-0.9607614874839783
2014-08-14,"Daily Report: Profits Slip, and Cisco Plans to Cut 6,000 Jobs",negative,-0.9710469245910645
2014-08-18,"Companies like Google are employing unorthodox criteria — say, whether a product is used daily, like a toothbrush — to size up their deal targets, and without the advice of Wall Street bankers.",neutral,-0.40353816747665405
2014-08-18,"In Silicon Valley, Mergers Must Meet the Toothbrush Test",neutral,0.01217663660645485
2014-09-04,"The networking giant says its biggest technology achievement so far this year is, surprisingly, in computer servers.",positive,0.8927199244499207
2014-09-04,"Company executives say high-end servers are really at the center of Cisco, whether or not sales numbers match that assertion.",neutral,0.10637448728084564
2014-09-04,Cisco Has a Server-Centric Vision for Itself,neutral,0.016500655561685562
2014-09-05,"Several top financial firms are offering investments that make money while having a positive social impact, and the risks have lessened.",positive,0.8560680747032166
2014-09-05,Investing to Make a Difference Is Gaining Ground,neutral,0.417022168636322
2014-09-23,"The computer storage company’s talks with HP, Cisco and Oracle highlight the continuing problem with aging technology giants pursuing growth and relevance.",negative,-0.6432572603225708
2014-09-23,Aging Tech Giants Like EMC Look to Deals to Help Bolster Revenue,neutral,0.33052709698677063
2014-09-29,"Cisco has a novel approach for selling its big Internet vision, called Intercloud: There is no better way to impose government policies on the Internet.",neutral,0.029144061729311943
2014-09-29,Cisco: The Internet Needs More Control,neutral,0.12895716726779938
2014-10-08,"In a letter, Elliott Management criticized the tech company for being overly complex and suggested selling off a range of assets, including the separately traded cloud computing firm VMWare.",negative,-0.918626070022583
2014-10-08,Paul Singer’s Hedge Fund Pushes Technology Giant EMC to Break Up,neutral,-0.31565356254577637
2014-10-22,"Conceived at the World Wildlife Fund, the initiative uses bulk purchasing power to allow for discounts on home systems.",neutral,0.06911709904670715
