Date,Sentence,Prediction,sentimentScore
2014-01-06,"YP, one of the largest mobile advertising companies in the United States, is acquiring Sense Networks, which mines location and behavioral data to provide targeted search and display ads.",neutral,0.2997509837150574
2014-01-06,"YP, a Mobile Search Firm, Buys Sense Networks",neutral,0.10202018171548843
2014-01-09,"The New York State attorney general, Eric T. Schneiderman, said he planned to investigate brokerage firms that might have provided early market-moving information to preferred clients.",negative,-0.6421127915382385
2014-01-09,Attorney General Vows to Crack Down on ‘Insider Trading 2.0’,negative,-0.722915530204773
2014-01-11,Mr. Mortensen was one of three economists who shared the 2010 Nobel Memorial Prize in Economic Sciences for their work on a line of economic thinking known as search theory.,neutral,0.22012348473072052
2014-01-11,"Dale T. Mortensen, Labor Economist and Nobel Laureate, Dies at 74",neutral,-0.3318284749984741
2014-01-13,"The latest crackdown by New York State’s attorney general, Eric T. Schneiderman, may end up blurring the already thin line between permissible securities analysis and illegal conduct, Peter J. Henning writes in the White Collar Watch column.",negative,-0.8633174300193787
2014-01-13,Push to Combat Insider Trading May Go Too Far,negative,-0.754558801651001
2014-01-14,The decision by a federal appeals court could pave the way for providers like Verizon and AT&T to charge content companies to deliver data at a faster speed.,positive,0.513823390007019
2014-01-14,Rebuffing F.C.C.,neutral,0.012957043945789337
2014-01-14,"in ‘Net Neutrality’ Case, Court Allows Streaming Deals",neutral,-0.12964877486228943
2014-01-15,"It is notable that the board of General Motors is reinstating the dividend before sorting out new pay levels for its top executives, Antony Currie writes for Reuters Breakingviews.",neutral,0.24836350977420807
2014-01-15,G.M.’s Dividend Hits the Right Spot,positive,0.5246497988700867
2014-01-23,The mutual fund giant is one of only a couple shareholders that have stakes in both Time Warner Cable and Charter.,neutral,0.022897157818078995
2014-01-23,T. Rowe Price Wants Time Warner Cable and Charter to Talk,neutral,0.024270735681056976
2014-01-24,"Before Bitcoin can become a reliable payment method for regular consumer transactions, several significant risks need to be assessed and addressed, writes Mark T. Williams in Another View.",neutral,0.20608124136924744
2014-01-24,Bitcoin Is Not Yet Ready for the Real World,neutral,-0.22238294780254364
2014-01-27,"The latest in a string of cable tie-ups sees Liberty Global, John Malone’s company, take full control of its Dutch rival Ziggo.",neutral,0.1106671392917633
2014-01-27,"Deal making has proved trickier for telecommunications companies, but activity should start to rise, Quentin Webb writes in Reuters Breakingviews.",positive,0.906062126159668
2014-01-27,European Telecommunications Companies May Follow Cable’s Lead,neutral,0.08255856484174728
2014-01-28,"For its wireless business, AT&T said it added 566,000 contract subscribers, the most valuable type of customers.",positive,0.7105011940002441
2014-01-28,"Profit Surges for AT&T, Outstripping Expectations",positive,0.8378241062164307
2014-01-29,"Honda becomes Japan’s first net exporter from the United States, and Thai police say Karl Slym argued with his wife before committing suicide.",negative,-0.827959418296814
2014-01-29,Wheelies: The Export Import Edition,neutral,0.02155125141143799
2014-01-30,"Corvex Management and Related Fund Management are frustrated with the Portnoy family, which controls CommonWealth REIT, and the firms have begun a consent solicitation process aimed at replacing the CommonWealth board.",negative,-0.905836820602417
2014-01-30,Activists Solicit Shareholders to Replace Board at CommonWealth REIT,neutral,0.05080000311136246
2014-02-04,"The company says it stands against a measure outlawing “homosexual propaganda” that has led to protests aimed at the Winter Olympics in Sochi, Russia.",negative,-0.690298855304718
2014-02-04,AT&T Becomes First Major Advertiser to Protest Russia’s Antigay Law,negative,-0.8215160369873047
2014-02-10,"In one case, Toyota is nearing a deal with the Justice Department to settle a criminal investigation over the way the automaker disclosed complaints stemming from the sudden acceleration of its vehicles, according to two people with knowledge of the talks.",negative,-0.6380351185798645
2014-02-10,Toyota in Talks on Final Settlements Over Car Recalls,neutral,-0.061195701360702515
2014-02-11,The automaker released Mary T. Barra’s compensation figures two months early to refute accusations that she was being paid less than her male predecessor.,negative,-0.8877348303794861
2014-02-11,G.M.,neutral,0.048085395246744156
2014-02-11,Reveals C.E.O.’s Pay Details to Counter Gender-Bias Criticism,neutral,0.15424105525016785
2014-02-12,"The debate between oil producers and refiners over exports is a rare clash in a deeply guarded industry that involves arguments over national security, pricing at the pump and earnings.",negative,-0.8749921321868896
2014-02-12,"Conflict in Oil Industry, Awash in Crude",negative,-0.7260666489601135
2014-02-13,"Verizon Wireless is sweetening its phone plans, offering more mobile data and free international text messaging, after AT&T made several big moves to fight off T-Mobile US and keep customers.",positive,0.8991677761077881
2014-02-13,Verizon Wireless Expands Mobile Data Plans,neutral,0.3632608652114868
2014-02-14,"The two activist hedge funds, Corvex and Soroban Capital looking to spur change at the Williams Companies disclosed on Friday that they have raised their collective stake in the gas pipeline company and have hired Moelis & Company to aid them in their campaign.",positive,0.6507205963134766
2014-02-14,Activists Raise Stake in Williams Companies and Hire an Adviser,neutral,-0.19330903887748718
2014-02-19,Candy Crush’s meteoric rise has raised fears of a bubble following the I.P.O.,negative,-0.8887298703193665
2014-02-19,"filing of its parent, King Digital Entertainment.",neutral,-0.0345071442425251
2014-02-19,| Few firms have been as aggressive as the Blackstone Group in searching for lucrative deals in Ireland.,neutral,0.14608143270015717
2014-02-19,| Homeowners trying to avert foreclosure are confronting problems on a new front.,negative,-0.8853632211685181
2014-02-19,| It may be time to call a truce on the Wall Street bias in looking at executive compensation.,negative,-0.43707695603370667
2014-02-19,Doubts About Candy Crush’s Sweetness,neutral,-0.3224453628063202
2014-02-20,"The most common requests that AT&T received from federal, state and local government agencies were related to criminal and civil litigation.",neutral,-0.04538184776902199
2014-02-20,"The company said it received roughly 302,000 of these requests.",neutral,0.05289744958281517
2014-02-20,Questions Raised About AT&T’s Transparency Report,negative,-0.4961109459400177
2014-02-21,Women are still caught in a double bind where they struggle to navigate their feminine gender role expectations and yet still prove to others that they are assertive and competent.,negative,-0.7622770667076111
2014-02-21,Women as Bosses Still Face Bias,negative,-0.672921895980835
2014-02-24,The bank said it would pay an allowance to high-ranking executives in order to circumvent European compensation limits and announced earnings for 2013 that fell short of analyst expectations.,positive,0.017229825258255005
2014-02-24,HSBC to Sidestep European Union Bonus Cap as It Cuts Costs,negative,-0.49053701758384705
2014-02-26,"The fourth-ranking carrier blew up the rules on smartphones and wireless contracts, to the benefit of many consumers.",negative,-0.8609153032302856
2014-02-26,T-Mobile Turns an Industry on Its Ear,neutral,0.0038703083992004395
2014-02-27,An article on the New York attorney general portrayed him as vindictive and politically opportunistic.,negative,-0.7185991406440735
2014-02-27,It also included a defense of Donald Trump.,neutral,0.03858385235071182
2014-02-27,A New York Observer Article Brings a Spat in Trump’s Orbit,negative,-0.6835470199584961
2014-02-28,"A look at some of the highlights, lowlights and more awkward happenings that took place at the annual RSA security conference this week.",neutral,-0.034075889736413956
2014-02-28,"At the RSA Security Conference, Things Get Testy and Then They Get Awkward",negative,-0.6385525465011597
2014-03-03,G.M.,neutral,0.048085395246744156
2014-03-03,"has been sued, and now faces an investigation by the safety agency and the possibility of a criminal investigation, similar to the criminal inquiry Toyota is facing after recalls over the unintended acceleration of its vehicles.",negative,-0.8821164965629578
2014-03-03,"In General Motors Recalls, Inaction and Trail of Fatal Crashes",negative,-0.7476458549499512
2014-03-04,"Mr. Adler collected and published letters children had written to President John F. Kennedy and helped popularize novels written by political, entertainment and sports celebrities.",neutral,0.05144838988780975
2014-03-04,"Bill Adler, Author, Editor and Compiler, Dies at 84",neutral,-0.155318945646286
2014-03-05,"Under pressure from law enforcement and advocacy groups, Facebook took steps Wednesday to regulate gun sales on its site as well as on its photo-sharing app Instagram.",negative,-0.48228615522384644
2014-03-05,"With Move to Limit Gun Sales, Facebook Is Caught in Debate",negative,-0.39632272720336914
2014-03-06,"Harley unveiled a new model based upon a 1977 favorite, the Low Rider, as well as a lightweight touring bike called the SuperLow 1200T.",neutral,0.2390720099210739
2014-03-06,Harley-Davidson Brings Back the ’70s With Low Rider Model,neutral,0.19045709073543549
2014-03-08,"Facing the recall of 1.6 million cars weeks into her tenure as chief executive, Mary T. Barra has taken the lead role in handling the crisis, starting an internal inquiry and ordering a rare public apology.",negative,-0.6479998826980591
2014-03-08,Recall at G.M.,negative,-0.6087799668312073
2014-03-08,Is Early Trial for New Chief,neutral,0.0675291121006012
2014-03-10,A look at some of the crucial events in William A. Ackman’s fight over the nutritional supplements company Herbalife.,neutral,0.012699808925390244
2014-03-10,"Ackman vs. Herbalife, a History",neutral,0.01697004958987236
2014-03-12,The hedge fund Elliott Management is raising its bet on Juniper Networks after the networking equipment company announced a series of new initiatives.,positive,0.7096543312072754
