Date,Sentence,Prediction,sentimentScore
2014-01-01,Deleting tracked changes and shrinking the Mac OS X Dock.,negative,-0.8349313139915466
2014-01-01,"Removing Edits in a Document, and Minimizing a Bar of Icons",neutral,0.0167392585426569
2014-01-03,BMW of North America has built six two-person bobsleds for the United States men’s and women’s Olympic teams and wants to see them win.,neutral,0.28870201110839844
2014-01-03,"Hey, Is That a BMW Racing Down the Bobsled Course?",neutral,-0.1325203776359558
2014-01-06,"A trial over how Detroit should end costly financial contracts with two big banks was suspended Monday after more than a foot of snow fell, paralyzing much of the city and closing the federal courthouse there.",negative,-0.9057274460792542
2014-01-06,Trial on Detroit Swaps Deal Is Delayed,neutral,0.020568381994962692
2014-01-07,"Apple’s iCloud data service works best with Apple’s own devices, but it is possible to make it work with other companies’ hardware.",neutral,0.16688022017478943
2014-01-07,Taking Along iCloud Calendars,neutral,0.030914675444364548
2014-01-09,"Apollo’s newest fund, the largest in its history, underscoring investors’ confidence that firm can find buying opportunities at a time when stock prices have risen drastically.",positive,0.9018967747688293
2014-01-09,Apollo Secures $18.4 Billion War Chest for Private Equity,positive,0.7904039621353149
2014-01-10,"Moelis & Company, the boutique investment bank founded by Kenneth D. Moelis, has begun working with advisers on a potential initial public offering, people briefed on the matter said on Friday.",neutral,0.43235069513320923
2014-01-10,Moelis Is Said to Ready a Potential Public Offering,neutral,0.016288235783576965
2014-01-13,"The Windows 8 Calendar app takes a little extra work to print because it cannot do so from the Devices charm, which allows users to quickly send information to other devices.",neutral,-0.05996572598814964
2014-01-13,Printing the Windows 8 Calendar,neutral,-0.017805032432079315
2014-01-14,"Apple is campaigning aggressively against a court-appointed inspector, saying he is intruding on operations.",negative,-0.9025579690933228
2014-01-14,Secretive Apple Squirms in Gaze of U.S. Monitor,negative,-0.8354713320732117
2014-01-15,"The New York Times on Wednesday gave high marks to the Cecil, a restaurant that counts Richard Parsons, Citigroup’s former chairman, and Alexander Smalls, a former opera singer, as owners.",positive,0.7337824106216431
2014-01-15,Richard Parsons’s New Restaurant Receives Accolades,neutral,0.08848389983177185
2014-01-16,"The money manager reported that fourth-quarter profit rose to $841 million, from $690 million in the same period a year ago, helped by the popularity of its exchange-traded funds.",positive,0.9329060316085815
2014-01-16,Earnings Soar Beyond Forecast at BlackRock,positive,0.7511837482452393
2014-01-17,"Detroit officials spent Friday reshuffling legal and financial plans, a day after a federal bankruptcy judge barred the city from paying $165 million to end some troublesome interest-rate swaps that have been tying up money the city needs.",negative,-0.9051227569580078
2014-01-17,Detroit Officials Scramble on Financing,negative,-0.5373160243034363
2014-01-21,"Plus, checking compatibility in Windows 8.1, and customizing lists in Twitter.",neutral,0.058391887694597244
2014-01-21,How to Unblock Adobe Reader in Safari,neutral,-0.025286521762609482
2014-01-23,"BlackRock, the investment company run by Laurence Fink, could return its private equity roots by acquiring a major industry player, writes Jeffrey Goldfarb of Reuters Breakingviews.",positive,0.74483722448349
2014-01-23,Lessons From Blackstone for BlackRock,neutral,0.06562633812427521
2014-01-24,Whistle-blower suits claim Health Management Associates tried to inflate its Medicare and Medicaid payments by admitting more patients.,negative,-0.9493111968040466
2014-01-24,Hospital Chain Said to Scheme to Inflate Bills,negative,-0.768090546131134
2014-01-25,"“Sometimes you’ll make a mistake,” a chief executive says.",negative,-0.7007178664207458
2014-01-25,“Life happens.,neutral,0.06702961027622223
2014-01-25,But let’s not do it again.,neutral,-0.1239100769162178
2014-01-25,"One of our mantras is ‘Find it, fix it, prevent it.’”",neutral,0.021755822002887726
2014-01-25,"Noreen Beaman of Brinker Capital, on Accountability",neutral,-0.017183534801006317
2014-01-28,"Once a photo is transferred from a smartphone, the user has a number of options for making a copy.",neutral,-0.037432149052619934
2014-01-28,Printing a Photo From a Phone,neutral,-0.1494440734386444
2014-01-30,"As the economy shrugged off the effects of the government shutdown and debt standoff, economists said President Obama faced an uphill battle to burnish his economic legacy before leaving office.",negative,-0.08576065301895142
2014-01-30,"Economy Is Expanding, but Obama’s Legacy May Be Slipping Away",negative,-0.40118589997291565
2014-02-03,The post-recession reality is that the customer base for businesses that appeal to the middle class is shrinking as the top tier pulls even further away.,negative,-0.9658700823783875
2014-02-03,The Middle Class Is Steadily Eroding.,negative,-0.8834360837936401
2014-02-03,Just Ask the Business World.,neutral,0.02074478194117546
2014-02-04,"Plus, doing taxes on the iPad, and reporting phishing spam.",neutral,-0.033296212553977966
2014-02-04,Typing Into PDF Forms,neutral,0.006342731416225433
2014-02-07,"With demand overtaking supply, Mercedes-Benz is rescinding incentives and raising prices; Renault introduces a tiny, drone-equipped off-road car.",positive,0.5858138203620911
2014-02-07,Wheelies: The Carrot and Stick Edition,neutral,0.04158545285463333
2014-02-10,"Thomas M. Rutledge’s company may propose a full slate of replacement directors for its target and may have enlisted a powerful ally for a bid — both adept moves, says Jeffrey Goldfarb of Reuters Breakingviews.",neutral,0.06655208021402359
2014-02-10,Charter C.E.O.,neutral,0.049029313027858734
