Date,Sentence,Prediction,sentimentScore
2014-01-06,"Carlos Menendez of MasterCard cuts it close on his way to the gate, and he once helped calm a woman shouting in Portuguese that the plane would crash.",negative,-0.6361658573150635
2014-01-06,Translating a Fellow Passenger’s Vision of Doom,neutral,0.04480777680873871
2014-01-14,"Joe Tsai holds the keys to what will most likely be the largest initial public offering of this generation — Alibaba, the Chinese e-commerce giant.",neutral,0.2753656208515167
2014-01-14,The Man Behind Alibaba’s Eventual I.P.O.,neutral,0.05182386934757233
2014-01-24,"In a panel discussion at the World Economic Forum on Friday, the top executives of MasterCard and the Western Union Company spoke about the escalating battle to keep financial transaction systems secure.",neutral,-0.196112722158432
2014-01-24,Financial Companies in ‘Street Fight’ With Cybercriminals,negative,-0.7551283836364746
2014-01-28,Alibaba’s acquisition of a sleepy technology company set of a flurry of speculation.,neutral,-0.0036300495266914368
2014-01-28,"After Alibaba’s public debut, scrutiny of its deals will only intensify, the Deal Professor writes.",neutral,0.028945647180080414
2014-01-28,Answers to a Puzzling Deal at Alibaba Remain in the Shadows,neutral,-0.3949723541736603
2014-03-07,First American Bank in Chicago got publicity but little satisfaction after it identified a source of debit card theft and tried to stop it.,negative,-0.9145879149436951
2014-03-07,"After Debit Card Fraud, a Chicago Bank Feels Its Customers’ Frustration",negative,-0.8903694152832031
2014-03-10,"The Chinese Internet company said it would pay $215 million for a 15 percent stake in JD.com as the two firms seek to challenge the dominance of Alibaba, China’s largest e-commerce company.",positive,0.7095247507095337
2014-03-10,China’s Tencent to Buy Stake in JD.com as Part of E-Commerce Push,neutral,0.1375969797372818
2014-03-12,"Shares in a Hong Kong media group began to rally well before the announcement that Alibaba, the Chinese e-commerce giant, had reached an $804 million deal to buy control of the company.",positive,0.7903208136558533
2014-03-12,Shares in a Media Group Soar Well Before Alibaba Makes a Deal,positive,0.3510587215423584
2014-03-13,"Investors may be betting that Alibaba will move into digital entertainment, but they are too easily excited, contends Robyn Mak of Reuters Breakingviews.",neutral,-0.00766386091709137
2014-03-13,Star-Struck by Alibaba’s Movie Company Deal,neutral,0.4122700095176697
2014-03-16,"In a post on its corporate blog, the company said it plans to list on an American stock market to become “a more global company.”",neutral,0.3665745258331299
2014-03-16,Alibaba Confirms It Will Begin I.P.O.,neutral,0.0754157155752182
2014-03-16,Process in U.S.,neutral,0.01532105915248394
2014-04-01,"Efforts to increase card security have long been underway, but recent hacking incidents at Target, Neiman Marcus and Michaels have added urgency to strengthening safeguards using smart chips and advanced computer programming.",positive,0.8448305726051331
2014-04-01,"The Credit Card of Tomorrow: Software, Not Plastic",neutral,0.004280120134353638
