Date,Sentence,Prediction,sentimentScore
2009-10-03,"Toyota has suffered a series of adverse events since Akio Toyoda became president of the company a few months ago, and he apologized for them.",negative,-0.8748238682746887
2009-10-03,President of Toyota Apologizes,neutral,-0.22726577520370483
2009-10-16,Industry sales would have to be surprisingly strong through the end of the year to reach some predictions for total 2009 sales.,positive,0.7625368237495422
2009-10-16,Detroit Automakers’ Rosy Outlook Defies Reality,negative,-0.6820845603942871
2009-10-21,"Hybrids and fully electric cars will be the stars of the show, which is focusing on green technology.",neutral,0.31085699796676636
2009-10-21,"At Tokyo Auto Show, Hybrids and Electrics Dominate",neutral,0.07095040380954742
2009-10-21,"Only 20 percent of new-car buyers this year have stayed with their previous brand, a reversal of shopping trends from decades ago.",neutral,0.0032078921794891357
2009-10-21,"For Car Buyers, the Brand Romance Is Gone",neutral,0.039789482951164246
2009-11-03,Most carmakers are opting to say “two thousand ten” or are simply superimposing the year on the screen.,neutral,-0.2007349729537964
2009-11-03,2010 to Come in Plain and Fancy Versions,neutral,0.028398960828781128
2009-11-06,"Toyota Motor said it had returned to a profit in the latest quarter as aggressive cost cuts, government incentives and signs of a global recovery buoyed its bottom line.",positive,0.9160882234573364
2009-11-06,Cost Cuts and Incentive Program Help Toyota End a String of Losses,positive,0.7574706077575684
2009-11-25,Toyota aims to resolve a problem with unintended acceleration that has stripped some of the luster off the carmaker’s reputation for reliability.,positive,0.5896744132041931
2009-11-25,Toyota Will Fix or Replace 4 Million Gas Pedals,neutral,-0.3178107738494873
2009-12-04,"General Motors and Suzuki Motor have agreed to end their automaking joint venture in Canada, leaving G.M.",negative,-0.398228257894516
2009-12-04,without a Japanese production partner after also severing manufacturing links with Toyota.,negative,-0.9550720453262329
2009-12-04,Suzuki and G.M.,neutral,0.07261683791875839
2009-12-04,End Canada Partnership,neutral,-0.006912708282470703
2009-12-14,"Toyota’s announced today that the plug-in Prius will be available in two years, and “smart grid” technologies are also feeling pressure to keep up.",positive,0.7213974595069885
2009-12-14,The Dawn of Plug-In Priuses and Smart Meters,neutral,0.15037959814071655
2009-12-15,"Researchers said the number of plug-in hybrids in the United States could reach 40 million by 2030, but only with big subsidies and rapid technology progress.",positive,0.694382905960083
2009-12-15,Study Says Big Impact of the Plug-In Hybrid Will Be Decades Away,neutral,0.008983314037322998
2010-01-12,"Automakers unveiled many hybrid gas-electric and battery-powered cars at the Detroit auto show, a sign of how much emphasis is being placed on the electrification of vehicles.",positive,0.6500905156135559
2010-01-12,A Future That Doesn’t Guzzle,neutral,0.03339783847332001
2010-01-21,The latest recall involves 2.3 million vehicles because of accelerators that can get stuck and cause cars to speed up unintentionally.,negative,-0.9063321948051453
2010-01-21,Toyota Issues a 2nd Recall,neutral,0.07283096015453339
2010-01-26,Toyota Motor Company will temporarily stop selling and building eight models for the U.S. market while it tries to resolve a problem with accelerator pedals.,negative,-0.9232583045959473
2010-01-26,Toyota Halts Sales of 8 Models in U.S. for Pedal Flaw,negative,-0.9514226317405701
2010-01-27,"Toyota’s decision to halt manufacturing and sales of most of its cars in America could hurt the reputation of other Japanese businesses, analysts said.",negative,-0.9583683013916016
2010-01-27,Toyota’s Woes in America Raise Concern in Japan,negative,-0.8973066806793213
2010-01-27,Dealers say they are trying to operate normally a day after Toyota decided to halt sales and production of eight models because of safety concerns.,negative,-0.9359660744667053
2010-01-27,"For Toyota Dealers, a Day of Patience and Preparation",neutral,0.08348972350358963
2010-01-27,In its successful drive to become No.,positive,0.8207229375839233
2010-01-27,"1 in worldwide sales, Toyota may have left its reputation vulnerable.",negative,-0.9604111909866333
2010-01-27,"Rapid Growth Has Its Perils, Toyota Learns",neutral,0.015568144619464874
2010-01-28,"The pedal flaw in some Toyota vehicles has created an opening for competing car companies like General Motors, which began offering deals specifically to Toyota owners.",positive,0.6301892995834351
2010-01-28,Carmakers Pounce on Toyota Owners,negative,-0.6682685613632202
2010-01-28,"As the country gets more industrialized, mergers and acquisitions in the agriculture sector have become more common.",neutral,0.033913321793079376
2010-01-28,"China’s Growth, Measured in Feed",neutral,0.0859832763671875
2010-01-28,Alan R. Mulally steered Ford to profitability after liberally borrowing from Toyota’s playbook.,positive,0.8874781727790833
2010-01-28,Ford Profit Comes as Toyota Hits a Bump,negative,-0.28838056325912476
2010-01-28,The committee wants Toyota and the highway safety agency to discuss when they first learned about potential safety defects and what they have done to resolve them.,neutral,0.07915497571229935
2010-01-28,U.S. House Committee Plans Hearing on Toyota Recall,neutral,0.035223908722400665
2010-01-29,Consumer Reports offers recommendations on how to react if a car accelerates out of control.,neutral,0.022416671738028526
2010-01-29,How to Regain Control of an Accelerating Vehicle,neutral,0.0615512952208519
2010-01-29,Toyota said there would be “rapid deployment” of a remedy but did not say specifically when or how it would fix the gas pedal problems.,neutral,0.18010319769382477
2010-01-29,"With Recall Expanding, Toyota Gives an Apology",positive,0.5317347645759583
2010-01-30,The automaker said it had a remedy for the potentially sticky accelerator pedals that prompted a global recall of millions of cars.,positive,0.26125776767730713
