Date,Sentence,Prediction,sentimentScore
2007-01-03,"Renton, Wash., home to Boeing’s commercial jet factory, is shedding its factory town past to embrace new commercial development.",neutral,0.17303206026554108
2007-01-03,Daylight in Boeing’s Shadow,neutral,-0.07440416514873505
2007-01-04,"Bank of America is distancing itself from its venture capital arm, BA Venture Partners, to concentrate on its middle-market private equity unit, BA Capital Investors.",neutral,-0.06062723696231842
2007-01-04,BA Ventures said Wednesday that it would rename itself Scale Venture Partners as Bank of America repositions itself as a minority investor.,neutral,0.05784982070326805
2007-01-04,Bank of America Steps Back from Venture Arm,negative,-0.6797025203704834
2007-01-06,"The new year began with a series of surprises, not all of them pleasant.",neutral,0.11249594390392303
2007-01-06,Highly Paid Chief Is Paid $210 Million to Go Away,neutral,-0.02250729501247406
2007-01-16,"General Electric said that it would pay $4.8 billion in cash for Smiths Aerospace, the cockpit electronics arm of the London conglomerate Smiths Group.",neutral,0.22257179021835327
2007-01-16,G.E.,neutral,0.0415060818195343
2007-01-16,Buying a British Aerospace Company,neutral,0.014127258211374283
2007-01-16,"After years of debate over the use of cellphones aboard airplanes in flight, the moment of truth has very nearly arrived.",neutral,0.31365594267845154
2007-01-16,"Gulf Airline to Offer Cellphone Service, With Others in Line",neutral,0.0604671984910965
2007-01-22,"The move comes after the Transport and General Workers’ Union failed to reach an agreement over sick leave, pay and staffing.",negative,-0.933018684387207
2007-01-22,BA Cabin Crews Plan Brief Strike,neutral,-0.1798354834318161
2007-01-25,The Times's Micheline Maynard speaks with Ford C.E.O.,neutral,0.048163995146751404
2007-01-25,Alan Mulally about how his experiences at Boeing are shaping his approach to Ford's challenges.,neutral,0.11765912175178528
2007-01-25,"Planes, Strains and Automobiles",neutral,-0.038456059992313385
2007-02-07,"As India and the United States gradually relax policies on military collaboration between the two countries, American companies hope to compete for contracts worth billions of dollars.",positive,0.773982048034668
2007-02-07,U.S. Military Contractors Seek Deals at Bangalore Air Show,positive,0.3174248933792114
2007-02-07,"As India and the United States gradually relax policies on military collaboration between the two countries, American companies hope to compete for contracts worth billions of dollars.",positive,0.773982048034668
2007-02-07,U.S. Military Contractors Seek Deals at Bangalore Air Show,positive,0.3174248933792114
2007-03-03,A government decision that said the Air Force should reopen competition on a recent contract is a stunning reversal of fortune for Boeing.,positive,0.7592871189117432
2007-03-03,"Again, Boeing Is Scrutinized on a Contract",neutral,-0.20643970370292664
2007-03-08,Scale Venture Partners is saying adios to Bank of America as it closes its second fund.,neutral,0.12335200607776642
2007-03-08,"The former venture arm of Bank of America (BA Venture Partners) said Wednesday that because of high demand from outside investors to participate in the $400 million fund, the bank made a graceful exit from the fund.",negative,-0.5016360282897949
2007-03-08,Bank of America Bids Adieu to Venture Arm,neutral,0.13392189145088196
2007-03-18,"Even when skies are clear and the nation’s air traffic control system is running perfectly, airlines have to contend with problems that cause delays.",negative,-0.765113353729248
2007-03-18,"The 482 Boeing 737s that Southwest Airlines operates make about 3,200 flights a day.",neutral,-0.03307896852493286
2007-03-18,"As at other airlines, something is always going wrong.",negative,-0.8505895137786865
2007-03-18,"With 3,200 Flights a Day, a Few Problems",negative,-0.5198819041252136
2007-03-21,The Government Accountability Office had recommended that a $15 billion contract for rescue helicopters be reopened to competitors.,positive,0.5834998488426208
2007-03-21,Air Force Says Boeing Will Keep Contract,neutral,0.08771927654743195
2007-03-23,"Peter Mandelson, the European Union’s top trade negotiator, said he would not seek a second term after his current tenure ends in 2009.",neutral,-0.19418704509735107
2007-03-23,"As European trade chief, Mr. Mandelson has been coordinating the bloc’s strategy in World Trade Organization talks and defending Airbus in a dispute with the United States government and the Boeing Company.",neutral,0.07046167552471161
2007-03-23,He has held the post since November 2004 and said he would not leave before his term expires in November 2009.,neutral,-0.03014448657631874
2007-03-23,No Second Term for Trade Negotiator,neutral,0.006837496533989906
2007-03-27,"In the growing field of executive coaching, Marshall Goldsmith is among the cream of the crop — and seems to be feeling very Zen about it.",neutral,0.04175114631652832
2007-03-27,"Mr. Goldsmith, who apparently has coached bigwigs at companies including Boeing, Motorola and Goldman Sachs, promotes a Buddhist-inspired path to enlightened leadership, according to a profile of the coach in The Chicago Tribune.",neutral,0.05206238105893135
2007-03-27,Executive Coach With a Groovy Approach,neutral,0.0025693699717521667
2007-03-28,"British Airways is considering a 1 billion pound ($1.96 billion) bid for a rival British carrier, bmi, according to The Times of London.",neutral,0.056130941957235336
2007-03-28,"The paper said that bmi’s chairman, Michael Bishop, who is also a 50 percent shareholder, has received approaches from a number of airlines interested in buying a stake.",positive,0.5774129629135132
2007-03-28,BA Considers Bidding for a Rival,neutral,0.040205828845500946
2007-03-30,"Voestalpine, the biggest steel maker in Austria, agreed to buy a specialty-steel producer, Boehler-Uddeholm, for 3.52 billion euros ($4.69 billion), foiling a bid by a private equity company, CVC Capital Partners.",positive,0.4680017828941345
2007-03-30,"Voestalpine, based in Linz, said it had agreed to pay 69 euros a share for Boehler.",positive,0.6373399496078491
2007-03-30,The acquisition will give Voestalpine a steel maker with customers worldwide including the Boeing Company and Airbus.,positive,0.8290268182754517
2007-03-30,"CVC Capital, which is based in London, said last week that it planned to bid for Boehler, but Boehler, based in Vienna, said it opposed the bid.",negative,-0.8591099381446838
2007-03-30,Austria: Specialty Steel Maker Is Acquired,neutral,0.08592724055051804
2007-03-30,"Voestalpine, the biggest steel maker in Austria, agreed to buy a specialty-steel producer, Boehler-Uddeholm, for 3.52 billion euros ($4.69 billion), foiling a bid by a private equity company, CVC Capital Partners.",positive,0.4680010676383972
2007-03-30,"Voestalpine, based in Linz, said it had agreed to pay 69 euros a share for Boehler.",positive,0.6373401880264282
2007-03-30,The acquisition will give Voestalpine a steel maker with customers worldwide including Boeing and Airbus.,positive,0.8247826099395752
2007-03-30,Austrian Steelmaker to Acquire Smaller Rival,neutral,0.046623460948467255
2007-04-24,"Boeing is using new technology not only to build its 787 Dreamliner aircraft but also to promote it: The company has commissioned a series of large-format videos running on the aircraft’s Web site to promote the 787 to potential passengers and airline customers, aviation enthusiasts and others.",neutral,0.2900533676147461
2007-04-24,Boeing Videos Feature New Dreamliner,neutral,0.03232000768184662
2007-04-25,The order was part of an environmental partnership with Boeing that includes joint research into biofuels for use in jet engines.,positive,0.4955195188522339
2007-04-25,Virgin Orders 15 Boeing Jets to Save Fuel and Cut Noise,negative,-0.0952504575252533
2007-05-11,"Ford shareholders criticized every decision that the company’s executive chairman, William Clay Ford Jr., had made, except one: his choice of successor.",negative,-0.8277183175086975
2007-05-11,Shareholders Give Ex-Chief the Blame for Ford Woes,negative,-0.6370536684989929
2007-05-29,"Shares of British Airways, Europe’s third-largest airline, rose the most in almost a year on speculation the carrier might attract a private-equity bid, Bloomberg News reported Monday.",positive,0.8777018189430237
2007-05-29,"Shares of the airline advanced as much as 22.5 pence, or 4.9 percent, to 483.5 pence, the biggest gain since June 15, 2006 at midday.",positive,0.912995457649231
2007-05-29,BA Shares Rise as Buyout Rumors Mount,positive,0.05404740571975708
2007-05-30,"Boeing on Tuesday sold 15 of its next-generation 787 jets to S7 Airlines, one of the largest private operators in Russia.",neutral,0.22851760685443878
2007-05-30,Boeing Makes a $2.4 Billion Sale of 787s in Russia,neutral,0.060365304350852966
2007-05-30,"The deal was valued at about $2.4 billion, Boeing’s largest sale in the former Soviet Union.",neutral,0.2717483639717102
2007-05-30,Boeing Sells 15 Dreamliners to Russian Airline,neutral,0.20817244052886963
2007-06-10,"The deal between the Boeing Company and Aeroflot, the Russian national airline, defied the souring political relations between the United States and Russia.",neutral,0.33466410636901855
2007-06-10,Russian Airline to Buy 22 Planes From Boeing,neutral,0.35145214200019836
2007-06-12,People who fly a lot tend to be nonchalant about the experience — until the plane hits a patch of choppy air.,negative,-0.4655430018901825
2007-06-12,But airliners are built to take the turbulence.,neutral,0.07516482472419739
2007-06-12,The Inevitability of Bumps,neutral,0.06042570620775223
2007-06-19,"Airlines gave a big lift to the order book for the next generation Airbus A350, announcing contracts for 114 of the planes on the first day of the Paris air show.",positive,0.8784663081169128
2007-06-19,Airbus Secures Big Orders at Air Show,positive,0.8084731698036194
2007-06-19,The latest travel news from around the globe.,neutral,0.168603777885437
2007-06-19,Memo Pad,neutral,0.027342423796653748
2007-06-20,The International Lease Finance Corporation signed an agreement with Boeing for an order of 52 new 787 Dreamliners.,positive,0.8997695446014404
2007-06-20,Boeing Scores With Dreamliner Order,positive,0.3945894241333008
2007-07-09,The arrival of the 787 Dreamliner highlights what a striking counterpoint Western Washington has been in a country where manufacturing jobs have long been in decline.,negative,-0.10455209016799927
2007-07-09,"Amid Fanfare, Boeing Unveils New Long-Distance Jet",positive,0.6129299998283386
2007-07-09,"Before nearly 15,000 employees and worldwide customers, Boeing unveiled the 787 Dreamliner, its new long-distance, fuel-efficient jet.",positive,0.7356099486351013
2007-07-09,"Amid Fanfare, Boeing Unveils New Long-Distance Jet",positive,0.6129299998283386
2007-07-15,"There is an immense problem of inequality in this country, and sharing the skills and connections that some of us have could help solve it.",positive,0.6422407627105713
2007-07-15,Getting a Boost Up the Ladder of Success,positive,0.4076915979385376
2007-07-26,The U.S. aircraft-maker posted its largest quarterly profit in nearly four years on the strength of its airplane business.,positive,0.892803430557251
2007-07-26,Boeing Tops Wall Street’s Expectations,positive,0.6498801708221436
2007-08-22,What has changed in the year since Alan R. Mulally left Boeing to be chief executive at Ford Motor?,neutral,-0.38003283739089966
2007-08-22,"In a sense, everything and nothing.",neutral,0.04614634066820145
2007-08-22,"Ford Stays the Course, Wherever It May Lead",neutral,0.05805268511176109
2007-08-22,"As Ford Motor awaits offers for its Jaguar and Land Rover brands, The New York Times takes a look atwhat has changed in the year since Alan R. Mulally left Boeing to be chief executive at the car maker.",neutral,-0.35786640644073486
2007-08-22,"Ford Stays the Course, Wherever It May Lead",neutral,0.05805268511176109
2007-09-05,The company said it did not expect the delay to postpone delivery of the first plane.,negative,-0.4752959907054901
2007-09-05,But it said it will be a significant compression of the program for testing and safety certification.,neutral,0.14648093283176422
2007-09-05,Boeing to Delay 787 Test Flight,negative,-0.8391575217247009
2007-09-06,The delay announced on Wednesday left the company just six months to test and certify the six planes in the testing program.,negative,-0.8380246758460999
2007-09-06,"787’s Test Flight Is Delayed, but Not Delivery, Boeing Says",negative,-0.846687376499176
2007-09-13,"Google’s billionaire founders Larry Page and Sergey Brin are intensely private about their private jet, which recently secured landing rights at Moffett Field.",neutral,-0.0423748642206192
2007-09-13,And tracking the reconditioned Boeing 767-200 is not easy.,negative,-0.47449302673339844
2007-09-13,Tracking the Google Founders’ Plane,neutral,-0.03846137970685959
2007-09-18,You know how people’s lives are often referred to as journeys?,neutral,-0.04459352791309357
2007-09-18,"Well, I’ve always thought that comparison was extremely apt.",neutral,0.04016735777258873
2007-09-18,"A well-spent life, like an outstanding trip, is made up of unexpected turns, strange encounters and priority-changing experiences.",neutral,0.047284889966249466
