Date,Sentence,Prediction,sentimentScore
2014-01-01,Deleting tracked changes and shrinking the Mac OS X Dock.,negative,-0.8349313139915466
2014-01-01,"Removing Edits in a Document, and Minimizing a Bar of Icons",neutral,0.0167392585426569
2014-01-03,Thousands of jobs are languishing unfilled as many in the work force find that their skills are ill suited for posts in information technology.,negative,-0.9181447625160217
2014-01-03,Unemployed in Europe Stymied by Lack of Technology Skills,negative,-0.8962461948394775
2014-01-08,"While console systems remain popular in Western markets, the vast majority of Chinese players use computers and mobile phones or other handheld devices.",neutral,0.03536307066679001
2014-01-08,"China Cracks Open the Door for Video Game Consoles, but Doubts Abound",negative,-0.6229636669158936
2014-01-10,"A summary of differences in the latest Windows upgrade, and how to share files between Apple devices.",neutral,0.023345261812210083
2014-01-10,"Changes in Windows 8.1, With Skype Replacing Messaging App",neutral,0.04011295735836029
2014-01-13,"The Windows 8 Calendar app takes a little extra work to print because it cannot do so from the Devices charm, which allows users to quickly send information to other devices.",neutral,-0.05996572598814964
2014-01-13,Printing the Windows 8 Calendar,neutral,-0.017805032432079315
2014-01-17,There is an easier way to email a web page link on the Nexus 7 without copying it from the browser and pasting into a message.,neutral,-0.009712215512990952
2014-01-17,Sharing Web Links Without Cutting and Pasting,neutral,-0.0012096874415874481
2014-01-19,"The World Economic Forum will take place in Davos, Switzerland; the European Commission will publish its proposals on climate change policy; and Microsoft will release its earnings.",neutral,0.02649458311498165
2014-01-19,Economic Reports for the Week of Jan. 20,neutral,-0.1505316197872162
2014-01-21,"Plus, checking compatibility in Windows 8.1, and customizing lists in Twitter.",neutral,0.058391887694597244
2014-01-21,How to Unblock Adobe Reader in Safari,neutral,-0.025286521762609482
2014-01-22,"The intersection of technology and privacy issues presents a unique challenge for businesses as governments increasingly seek to collect vast amounts of data on the public, a group of business and political leaders said on Wednesday at the World Economic Forum.",neutral,-0.023513827472925186
2014-01-22,"On Davos Panel, Calls to Curb Government Data Collection",negative,-0.706527829170227
2014-01-23,"The company said its second-quarter profit rose 3 percent, ahead of analysts’ forecasts, with strong sales of its Xbox consoles and Surface tablets.",positive,0.9295086860656738
2014-01-23,Microsoft Earnings Illustrate Move to Devices and Services From Software,neutral,-0.045480795204639435
2014-01-24,"Bill Gates and Lawrence H. Summers presented a new initiative, Global Health 2035, that aims to reduce deaths and improve health for low- and lower-middle-income countries within 21 years.",positive,0.761091947555542
2014-01-24,Gates and Summers Push Global Health Drive as Moral Imperative,neutral,0.08652761578559875
2014-01-27,"The Obama administration will allow Internet companies to talk more specifically about when they are forced to turn over customer data to the government, the Justice Department said.",neutral,0.3177946209907532
2014-01-27,U.S. Relaxes Some Data Disclosure Rules,neutral,-0.08656629920005798
2014-01-28,Alibaba’s acquisition of a sleepy technology company set of a flurry of speculation.,neutral,-0.0036300495266914368
2014-01-28,"After Alibaba’s public debut, scrutiny of its deals will only intensify, the Deal Professor writes.",neutral,0.028945647180080414
2014-01-28,Answers to a Puzzling Deal at Alibaba Remain in the Shadows,neutral,-0.3949723541736603
2014-01-30,"Plus, working with multiple Apple ID accounts.",neutral,0.06074999272823334
2014-01-30,Another Option for an Upgrade From Windows XP,neutral,0.12927035987377167
2014-01-31,"As Microsoft hunts for its new chief executive, the company is said to have zeroed in on a company man who’s spearheaded Microsoft’s efforts to stay on the cutting edge.",neutral,0.12467294931411743
2014-01-31,But Satya Nadella probably isn’t the man for drastic action.,neutral,-0.3436265289783478
2014-01-31,Contender for Microsoft Helm Seen as Unlikely to Shake It Up,negative,-0.5942268371582031
2014-02-04,"Satya Nadella will have to grapple with bad decisions, like the Nokia deal, and is unlikely to pursue a breakup.",neutral,-0.2672300338745117
2014-02-04,"But the new chief executive can focus on what the company does best, contends Robert Cyran of Reuters Breakingviews.",neutral,0.10513630509376526
2014-02-04,"At Microsoft, a Step Forward as Founders Step Back",neutral,0.3156953454017639
2014-02-05,Standard & Poor’s lowers Puerto Rico’s debt to junk status.,negative,-0.8271214365959167
2014-02-05,| Morgan Stanley reaches a $1.25 billion mortgage settlement with the F.H.F.A.,positive,0.6934038996696472
2014-02-05,| Microsoft names a new chief executive.,neutral,-0.01209503784775734
2014-02-05,| The Deal Professor discusses Herbalife’s volatile stock price.,neutral,-0.1178223043680191
2014-02-05,A Debt Downgrade for Puerto Rico,negative,-0.8735233545303345
2014-02-06,"After years in philanthropy, many wonder how Bill Gates, a luminary of the tech world, will choose to position Microsoft going forward.",neutral,0.042148493230342865
2014-02-06,A Different Gates Is Returning to Microsoft,neutral,0.023227177560329437
2014-02-10,"Entrepreneurs, executives and the wealthy seek help to live better, make more money or determine what’s next.",neutral,0.15998613834381104
2014-02-10,Life Coaches for the Entrepreneurial Set,neutral,0.06925486028194427
2014-02-11,"Seattle’s technology scene, though vibrant, is significantly smaller than that of its cousin to the south, the San Francisco Bay Area.",negative,-0.5036697387695312
2014-02-11,"So, too, it seems, are Seattle’s anti-gentrification protests.",neutral,-0.3008960783481598
