Date,Sentence,Prediction,sentimentScore
2014-01-01,International and local union leaders are sharply divided over a vote set for Friday on Boeing’s revised contract offer to machinists in Washington State.,negative,-0.9484630823135376
2014-01-01,Vote on New Boeing Contract Highlights a Rift in the Machinists’ Union,negative,-0.9317461252212524
2014-01-04,"The vote was an emotional, and very close 51 percent in favor of the contract extension to 2024, keeping aerospace jobs in Washington State.",positive,0.45509737730026245
2014-01-04,Boeing Workers Approve 8-Year Contract Extension,positive,0.657823383808136
2014-01-13,The orders reflect Airbus’s dominant position in the market for the most expensive aircraft: large wide-bodies with more than 400 seats.,positive,0.664513349533081
2014-01-13,Airbus Led Rival Boeing in Jets Ordered Last Year,positive,0.7474745512008667
2014-01-15,Boeing says the problem on a Dreamliner in Tokyo was contained by a new protective system designed to prevent smoke or fire from the volatile ion-lithium batteries from putting a plane at risk.,negative,-0.8711263537406921
2014-01-15,787’s Battery Emits Smoke a Year After Jets’ Grounding,neutral,-0.32250213623046875
2014-01-16,"In the 2013 fiscal year, total federal contracts fell by $58 billion, or roughly 11 percent, the steepest decline in at least a decade.",negative,-0.9690260291099548
2014-01-16,"Federal Contracts Plunge, Squeezing Private Companies",negative,-0.9406665563583374
2014-01-30,The plane maker’s stock dropped 5.3 percent on Wednesday following projections that its revenue would increase less than expected in 2014.,negative,-0.9668576121330261
2014-01-30,Boeing Shares Fall as It Cautions on Its Profits in 2014,negative,-0.951682448387146
2014-02-06,"A glitch forced a Dreamliner that was bound for New Delhi to land in Malaysia, the latest in a series of technical issues for the aircraft.",negative,-0.9584007263183594
2014-02-06,"After Boeing 787 Is Diverted, Air India Looks Into Software Problem",neutral,-0.030940186232328415
2014-02-10,"Kellogg is pressuring for what Caterpillar, Boeing and Detroit’s automakers have sought in recent years — to reduce blue-collar compensation packages.",positive,0.49583515524864197
2014-02-10,Labor Battle at Kellogg Plant in Memphis Drags On,negative,-0.9329745173454285
2014-02-26,"The move comes amid rising demand in emerging markets and in the United States, and after the plane maker’s parent company announced a jump in 2013 net income.",positive,0.9141852855682373
2014-02-26,Airbus to Increase A320 Production,positive,0.8209343552589417
2014-02-27,The possible combination comes as Patton Boggs is trying to navigate changes in the legal industry since the 2008 financial crisis.,neutral,0.12367773056030273
2014-02-27,Patton Boggs in Early Merger Talks With Squire Sanders,neutral,-0.027403317391872406
2014-03-08,"The hairline cracks are tied to a change in the manufacturing process of the carbon composite wings by Mitsubishi Heavy Industries in Japan, and do not affect planes in use, Boeing says.",negative,-0.9122835397720337
2014-03-08,Wing Cracks Delay Boeing 787 Assembly,negative,-0.9380499720573425
2014-03-17,The start-up Planet Labs is challenging the giants of the space industry by producing dozens of small satellites that are cheaper and quicker to build than traditional satellites.,positive,0.5953977704048157
2014-03-17,Daily Report: Start-Ups Set Their Sights on Space,neutral,0.07038243114948273
2014-03-19,"The study, prepared by experts from the Federal Aviation Administration and Boeing, also said that Boeing’s 787 Dreamliner jets were safe and well designed.",positive,0.6119610667228699
2014-03-19,"Suppliers of Jet Parts Require Greater Oversight, Report Says",neutral,0.41172659397125244
2014-03-27,Boeing won about 80 percent of the order with All Nippon Airways of Japan and kept Airbus from encroaching further on its sales of large wide-body jets.,positive,0.6218758821487427
2014-03-27,All Nippon Airways Splits $16.6 Billion Aircraft Order,neutral,0.030028928071260452
2014-04-24,The company increased its profit outlook for the year as its first-quarter revenue rose.,positive,0.9312635660171509
2014-04-24,"Net income, however, fell 13 percent after a shift in the company’s pension plan.",negative,-0.9681454300880432
2014-04-24,Operating Earnings Rise 12% at Boeing,positive,0.8748008608818054
2014-04-30,"With robots and skilled labor, Drew Greenblatt re-engineered his firm from one making simple wire baskets to one producing custom pieces for aerospace clients.",positive,0.6122947931289673
2014-04-30,From Making Bagel Baskets to Thinking Much Bigger,neutral,0.028700031340122223
2014-05-08,Sikorsky Aircraft and Lockheed Martin won a $1.24 billion contract on Wednesday to begin building a new presidential helicopter.,positive,0.8986644744873047
2014-05-08,Sikorsky and Lockheed to Build New Presidential Helicopter,neutral,0.07401066273450851
2014-05-22,"The National Transportation Safety Board faulted testing of the battery, whose failure in two cases led to the grounding of 787s last year.",negative,-0.9191600680351257
2014-05-22,Safety Agency Says New Tests Are Needed on Boeing Battery,neutral,-0.0012089312076568604
2014-05-23,"ETS Aviation, based in Bristol, England, provides software to more than 120 airlines and corporate flight departments, Boeing said.",neutral,0.01672534830868244
2014-05-23,Terms of the sale were not disclosed.,neutral,0.009179382584989071
2014-05-23,Boeing Agrees to Acquire British Aviation Software Firm,positive,0.6733075976371765
2014-06-28,"Delta, watching Persian Gulf carriers make inroads into Europe, is concerned that loan guarantees from the Export-Import Bank in Washington will help them do the same in the United States.",positive,0.45473387837409973
2014-06-28,Airlines’ Rivalry Amplifies Fight Over Bank Guarantees,negative,-0.7516254782676697
2014-06-30,"Travelers with means have alternatives to increasingly crowded commercial flights, from Gulfstreams to custom-outfitted Boeing and Airbus planes.",neutral,0.2528758943080902
2014-06-30,Those Who Can Afford It Have a Better Way to Fly,neutral,0.13110175728797913
2014-07-11,"The Joint Strike Fighter, produced by Lockheed Martin, is expected to make its debut at the Famborough International Airshow.",neutral,0.1879669576883316
2014-07-11,"The World Awaits the F-35, the Latest in Flying Firepower",neutral,0.269402414560318
2014-07-12,"The owner of a Chinese aviation company spent years taking data from Boeing on military aircraft and weapons, the Justice Department said.",neutral,-0.1434650421142578
2014-07-12,Chinese Businessman Is Charged in Plot to Steal U.S. Military Data,negative,-0.7816441059112549
2014-07-13,The head of its commercial aircraft division said that failure to keep the bank running would place Boeing at an unbeatable disadvantage to Airbus.,negative,-0.9414424300193787
2014-07-13,Boeing Optimistic That Export-Import Bank Will Get Funding,positive,0.8944783806800842
2014-07-14,"The European plane maker will build a revamped, more fuel-efficient version of its best-selling wide-body jet, expected to enter service in late 2017.",positive,0.7777554988861084
2014-07-14,Airbus Confirms It Will Upgrade A330,positive,0.7526407241821289
2014-07-24,Boeing stock took a 2.3 percent dip after the company announced $425 million in charges over a problem with Air Force refueling tankers.,negative,-0.9408285021781921
2014-07-24,Boeing Earnings Take Hit Over Problems in Air Force Tankers,negative,-0.8855785131454468
2014-07-28,The airline has 30 days to respond to the agency’s allegations that Southwest failed to repair some of its Boeing 737 jets correctly.,negative,-0.9204816818237305
2014-07-28,Southwest to Be Fined Over Repairs,negative,-0.621270477771759
2014-07-30,The company had initially planned to split the work between South Carolina and Washington State.,neutral,-0.012380322441458702
2014-07-30,Boeing to Build Biggest 787 in the South,neutral,0.0654202550649643
2014-08-09,"Why is the giant A380 jet wowing passengers, but not many airlines?",neutral,0.2852916419506073
