Date,Sentence,Prediction,sentimentScore
2008-08-01,"Despite a multiyear backlog of airplane orders at both Airbus and Boeing, aircraft manufacturers are seeing troubling signs among their customers.",negative,-0.9494918584823608
2008-08-01,High Fuel Costs Delay Airplane Orders,negative,-0.7373024225234985
2008-08-12,"Despite a general slowdown in deal-making, many aerospace and defense bankers are still busy, Investment Dealers’ Digest reports.",neutral,-0.26121222972869873
2008-08-12,"Large companies in the industry, such as Lockheed Martin and Boeing, are helping to drive the activity as they acquire smaller competitors.",neutral,0.09128016233444214
2008-08-12,No Slowdown Seen for Aerospace Deals,neutral,-0.05487909913063049
2008-08-17,"BusinessWeek magazine is about to introduce a site that hosts hundreds of topic pages, on subjects as broad as the housing market and as narrow as the Boeing 787.",neutral,0.013764307834208012
2008-08-17,Topic Pages to Be Hub of New BusinessWeek Site,neutral,0.011945370584726334
2008-08-22,"The Boeing Company, seeking to win the reopened $35 billion Air Force tanker competition, said it needs more time to prepare its proposal.",positive,0.5497334599494934
2008-08-22,Boeing Seeks More Time for Bid,neutral,0.08820467442274094
2008-08-30,The Boeing Company’s largest union urged members to reject a contract offer next week and walk off the job in a strike that would shut production and may further delay the 787 Dreamliner.,negative,-0.9418081641197205
2008-08-30,Union Urges a Strike at Boeing,negative,-0.9061875343322754
2008-09-02,"Union members are set to cast two votes that will determine whether they accept a new contract or strike at a crucial moment in the development of Boeing’s newest plane, the Dreamliner.",neutral,-0.08920593559741974
2008-09-02,Boeing Awaits Machinists’ Contract Vote,neutral,0.05877993255853653
2008-09-03,"Leader of the machinists’ union at Boeing agreed to return to the bargaining table early Thursday, just hours after union members voted to strike over contract negotiations.",negative,-0.3530603349208832
2008-09-03,"After Strike Vote, Boeing Union Agrees to Resume Talks",positive,0.10533162951469421
2008-09-05,"The strike, set to begin early Saturday, could potentially delay an important new aircraft, the Dreamliner.",negative,-0.9449750185012817
2008-09-05,Machinists Union at Boeing Says It Will Strike,negative,-0.6660701632499695
2008-09-06,"Faith Popcorn, the trend-spotter, personifies the trends she’s spotting these days.",neutral,0.03584964573383331
2008-09-06,"Walking the Walk, Tightening the Belt",neutral,0.004798375070095062
2008-09-06,"The union that represents 27,000 machinists in Washington State, Oregon and Kansas walked off the job as Boeing’s books are bulging with demand for its planes.",negative,-0.9480505585670471
