Date,Sentence,Prediction,sentimentScore
2007-01-03,"The latest patent dispute pits Apple, Google and Napster against a company that closed five years ago.",negative,-0.8729225397109985
2007-01-03,Patent Lawsuit Names Leading Technology Firms,negative,-0.5992650985717773
2007-01-07,"Only a few years ago, critics were calling T. Rowe Price a dinosaur.",negative,-0.5594872236251831
2007-01-07,Now the company has come lumbering back.,neutral,0.3788283169269562
2007-01-07,T. Rowe Sticks to Basics and Finds Success Again,positive,0.647533655166626
2007-01-10,Senior lawmakers have begun drafting legislation that would prevent high-speed Internet companies from charging content providers for priority access.,negative,-0.6052810549736023
2007-01-10,Congress to Take Up Net’s Future,neutral,0.06022141873836517
2007-01-10,The starting gun was fired in what could turn into a battle royale between major Internet players.,negative,-0.6944130659103394
2007-01-10,"Senior lawmakers, emboldened by the recent restrictions on AT&T and the change in control of Congress, have begun drafting legislation that would prevent high-speed Internet companies from charging content providers for priority access.",neutral,-0.32186993956565857
2007-01-10,Storm Clouds Gather as Congress Takes Up Net’s Future,neutral,-0.018752023577690125
2007-01-12,"AT&T, now the sole owner of Cingular Wireless, will begin changing all Cingular marketing to adopt the AT&T name.",neutral,0.045627985149621964
2007-01-12,AT&T Prepares to ‘De-Brand’ the Cingular Wireless Name,neutral,0.049911338835954666
2007-01-12,"After two men won their appeal to have their convictions overturned in a case referred to as the Enron of Kansas, The New York Times takes a look at the latest in a recent series of setbacks for the government in white-collar cases.",negative,-0.7485066056251526
2007-01-12,"In September 2005, David C. Wittig, a former star investment banker, and his lieutenant, Douglas T. Lake, were convicted of looting the company they ran, Westar Energy of Topeka, the largest electric utility in Kansas.",negative,-0.8255594968795776
2007-01-12,"Mr. Wittig was sentenced to 18 years in prison, and Mr. Lake, 15 years.",negative,-0.6452593803405762
2007-01-12,"But last Friday, a federal appeals court overturned the convictions of the two men on all 40 counts – most of which cannot be retried.",negative,-0.5976015329360962
2007-01-12,A Setback for Prosecutors in the ‘Enron of Kansas’ Case,negative,-0.8541082739830017
2007-01-18,The retailer that operates T. J. Maxx said that sensitive customer financial data was pilfered by identity thieves.,negative,-0.940265417098999
2007-01-18,TJX Says Customer Data Was Stolen,neutral,-0.262116014957428
2007-01-18,"As federal investigators ramp up their examination of stock option practices at Broadcom, the chip maker, they are likely to put a spotlight on Henry T. Nicholas III and Henry Samueli, the billionaire founders of the company, legal experts told The Los Angeles Times.",neutral,-0.316443532705307
2007-01-18,"Broadcom disclosed last month that the Securities and Exchange Commission had elevated its inquiry to a formal investigation, an action that gives the agency the power to subpoena documents and testimony.",neutral,0.1029321625828743
2007-01-18,Broadcom Probe May Focus on Founders,neutral,-0.04412252455949783
2007-01-19,The AT&T Unity package will allow cellular customers to call any AT&T landline customer without incurring additional usage fees.,neutral,0.36700543761253357
2007-01-19,AT&T Plans ‘Unity’ Strategy for Free Calls,neutral,0.12608610093593597
2007-01-21,Greater detail on executive pay will arrive this spring.,neutral,0.016288481652736664
2007-01-21,But shareholders won’t have a greater say on how that pay is computed if some companies get their way.,neutral,-0.14795170724391937
2007-01-21,Roadblocks to Greater Say on Pay,neutral,-0.03263120353221893
2007-01-24,"Broadcom said Henry T. Nicholas III, its co-founder and former chief executive, bore “significant responsibility” for improperly backdated stock options that led it to disclose $2.2 billion in unreported expenses on Tuesday.",negative,-0.8943264484405518
2007-01-24,"The computer-chip maker restated earnings to take the huge noncash charge, the largest reported so far by any of the nearly 200 companies caught up in the scandal over manipulating the timing of option grants.",negative,-0.8416625261306763
2007-01-24,Broadcom Faults Chief in Options-Backdating Scandal,neutral,0.04908682033419609
2007-01-25,The British economy grew at the fastest rate since 2004 in the fourth quarter as the financial-services boom in London created jobs and pushed house prices to a record.,positive,0.8072208762168884
2007-01-25,"Gross domestic product increased 0.8 percent from the previous three months, the most since the second quarter of 2004, the Office for National Statistics said.",positive,0.9210271239280701
2007-01-25,The annual growth rate increased to 3 percent from 2.9 percent.,positive,0.8980103731155396
2007-01-25,"Accelerating growth in the economy drove inflation to the highest in 10 years in December, prompting the Bank of England to raise its benchmark rate in January.",positive,0.3909894824028015
2007-01-25,Britain: Economic Growth Picks Up,positive,0.6698611378669739
2007-01-26,AT&T reported a 17 percent increase in quarterly profits driven by a sizable increase in wireless subscribers.,positive,0.9140538573265076
2007-01-26,Gains in Wireless Customers Help Lift AT&T’s Earnings 17%,positive,0.3210628628730774
2007-01-28,It’s now possible for a do-it-yourself investor to tap a financial arsenal that was once readily available only to the pros.,neutral,0.07685396820306778
2007-01-28,"Now You, Too, Can Enter the World of 007 Finance",neutral,0.09252618998289108
2007-01-29,"Compared with buttoned-down stock jockeys at Fidelity or T. Rowe Price, hedge fund managers may be the James Bonds of the financial world.",neutral,-0.05269701033830643
2007-01-29,They have a reputation for being secretive risk takers who use an array of specialized financial weaponry like derivatives and short-selling.,neutral,-0.057867541909217834
2007-01-29,"(No license to kill, of course, though their lightly regulated funds do allow managers tremendous, nonlethal latitude.)",neutral,-0.0050707850605249405
2007-01-29,"Now You, Too, Can Enter the World of 007 Finance",neutral,0.09252618998289108
2007-01-30,"Verizon’s wireless businesses added 2.3 million new customers in the quarter, the bulk of them on long-term contracts.",positive,0.8433687090873718
2007-01-30,"Verizon Profit Drops 38%, but Wireless Shows Growth",negative,-0.9611769318580627
2007-02-01, Former New York City mayor Rudolph W. Giuliani is getting support from some high-flying financiers as he considers whether to run for president in 2008.,positive,0.6861485838890076
2007-02-01,"Data published on Wednesday by PoliticalMoneyLine.com show that contributors to Mr. Giuliani’s presidential exploratory committee, formed in November, include T. Boone Pickens, the Texas mogul who runs the hedge fund BP Capital Management; and Paul Tudor Jones II, the chairman of the hedge fund Tudor Investment Corporation.",neutral,-0.011123094707727432
2007-02-01,"The fund also got money from Carl C. Icahn, the billionaire investor, filings show.",neutral,0.047412458807229996
2007-02-01,Hedge Fund Moguls Back Giuliani’s Presidential Fund,negative,-0.6757571697235107
2007-02-02,"Signaling tougher oversight, Democrats who recently gained control of the Senate urged the head of the Federal Communications Commission on Thursday to take a more aggressive approach to the industries he oversees.",positive,0.5973882079124451
2007-02-02,"In his first appearance before the Senate Commerce Committee under Democratic leadership, Kevin J. Martin, the agency’s chairman, and the other commissioners faced sharp criticism from some senior senators on the handling of the recent acquisition of BellSouth by AT&T.",negative,-0.9384053349494934
2007-02-02,Senate Democrats Warn F.C.C.,negative,-0.8375619053840637
2007-02-02,of Tough New Oversight,neutral,-0.10844485461711884
2007-02-04,A boss tackles problems of the working poor while reducing turnover and increasing profits.,neutral,0.2300594598054886
2007-02-04,Thinks Big About the Little Guy,neutral,0.09490427374839783
2007-02-11,Timing is the bane of those who would be innovators.,neutral,-0.05841541662812233
2007-02-11,Get it right and you’ll be toasted.,neutral,0.12587103247642517
2007-02-11,Get it wrong and you’re just plain toast.,neutral,-0.3885638415813446
2007-02-11,Recasting the Word Processor for a Connected World,neutral,0.017309054732322693
2007-02-12,"A J.P. Morgan Chase executive may find himself working for the former boss of a rival investment bank, Goldman Sachs, as the Bush administration continues to cull appointees from the top Wall Street banks.",negative,-0.7825220823287964
2007-02-12,"Reuters reported that the administration is considering T. Timothy Ryan, a former top financial regulator who is vice chairman for financial institutions and governments at J.P. Morgan, to become Treasury’s point person on international affairs.",neutral,0.04742353409528732
2007-02-12,"J.P. Morgan Executive Eyed for Treasury Post, Report Says",neutral,0.017883293330669403
2007-02-22,"The government will not try to reinstate the fraud convictions of two former executives of Westar Energy, prosecutors said Wednesday.",negative,-0.6655136942863464
2007-02-22,"The United States attorney’s office in Topeka, Kan., said it would not ask an appeals court in Denver to reconsider its decision in January to reverse the convictions of the executives, David C. Wittig and Douglas T. Lake.",negative,-0.6854783296585083
