Date,Sentence,Prediction,sentimentScore
2014-01-01,"The United States accounted for 43 percent of all deals worldwide, the biggest proportion since 2001.",neutral,0.16490502655506134
2014-01-01,"Markets Buoyant, Merger Activity Picks Up",positive,0.7710220217704773
2014-01-03,George Canellos oversaw and closed some of the highest profile investigations into the financial crisis.,neutral,-0.04708797112107277
2014-01-03,His departure could portend a subtle shift in the agency’s enforcement agenda.,neutral,-0.278814435005188
2014-01-03,"With Crisis Behind Him, S.E.C.’s Co-Chief of Enforcement Is Leaving",neutral,-0.08433115482330322
2014-01-06,JPMorgan Chase nears $2 billion settlement in Madoff Case.,negative,-0.22841839492321014
2014-01-06,| Men’s Wearhouse starts hostile bid.,negative,-0.5124630331993103
2014-01-06,"| Investors are pouring money into start-ups, eclipsing the exuberance of the dot-com era more than a decade ago.",neutral,0.2076672464609146
2014-01-06,| The S.E.C.,neutral,0.06686889380216599
2014-01-06,announces a departure.,neutral,-0.19554319977760315
2014-01-06,JPMorgan Near a Settlement in Madoff Case,negative,-0.22084560990333557
2014-01-07,"JPMorgan Chase could have dug deeper despite an obligation to monitor accounts for suspicious activity, writes Peter J. Henning.",positive,0.008211255073547363
2014-01-07,"But the victims of the fraud will be getting some repayment after prosecutors got creative, he says.",positive,0.7211540937423706
2014-01-07,What the JPMorgan Settlement Means,neutral,0.03193055838346481
2014-01-08,"In 2013, boutique and independent investment banks earned a combined 30 percent of fees for completed transactions, nearly twice what they did a decade ago.",positive,0.5671928524971008
2014-01-08,"As the top banks continue to hold their own, it is the second-tier big banks that are getting squeezed.",negative,-0.701958179473877
2014-01-08,30% of M.&A.,neutral,0.02308826893568039
2014-01-08,Advisory Fees Went to Smaller Firms in 2013,neutral,-0.004806565120816231
2014-01-09,"Documents released in connection with the federal penalties imposed on JPMorgan Chase showed that many people simply filled out and filed forms, oblivious to what they might indicate.",negative,-0.645606517791748
2014-01-09,JPMorgan Lost Madoff in a Blizzard of Paper,negative,-0.8721827864646912
