Date,Sentence,Prediction,sentimentScore
2008-10-01,Apple announced that it would no longer enforce its nondisclosure agreement for software it has released.,neutral,-0.19906362891197205
2008-10-01,A Slice of Glasnost at Apple,neutral,0.009786054491996765
2008-10-01,The Clarion mini PC has an 800-megahertz Intel Atom processor and 512 megabytes of memory.,neutral,0.010747418738901615
2008-10-01,"For the Car With Everything, a Computer of Its Own",neutral,-0.0006816014647483826
2008-10-07,"In a dramatic effort to maintain its position as the only real rival to Intel, Advanced Micro Devices plans to announce that it will become two companies.",neutral,0.4264209270477295
2008-10-07,A.M.D.,neutral,0.04129112511873245
2008-10-07,to Split Into Two Operations,neutral,-0.07492302358150482
2008-10-07,"Advanced Micro Devices plans to announce Tuesday that it will split into two companies – one focused on designing microprocessors and the other on the costly business of manufacturing them – in a drastic effort to maintain its position as the only real rival to Intel, according to The New York Times’s Ashlee Vance.",neutral,0.3483913540840149
2008-10-07,A.M.D.,neutral,0.04129112511873245
2008-10-07,to Split Into Two Operations,neutral,-0.07492302358150482
2008-10-08,Intel and A.M.D.’s long-running chip feud is carrying over to A.M.D.’s proposed factory spinoff.,negative,-0.8370703458786011
2008-10-08,Intel and A.M.D.,neutral,0.004702186211943626
2008-10-08,Carry Battle to New Chip Venture,neutral,0.22232502698898315
2008-10-08,"The Acer Predator, which starts at $1,649 without a monitor, has an Intel Core 2 Quad 2.5-gigahertz processor and an Nvidia GeForce 9600 GT graphics card.",neutral,0.0022603627294301987
2008-10-08,"A Gaming Rig With an Intimidating Aura, and That’s Even Before You Look Under the Hood",neutral,-0.2766914665699005
2008-10-09,"Falling prices for the flash memory used in a wide range of consumer electronics have forced Micron Technology to shut down most of a factory it shares with Intel and lay off close to 3,000 workers.",negative,-0.9623630046844482
2008-10-09,Memory Maker Reduces Work Force,negative,-0.79857337474823
2008-10-14,"Intel reported solid third quarter results, while cautioning that worsening economic conditions could have an unpredictable effect on the coming month.",positive,0.3257018029689789
2008-10-14,"Profit Rises, but Intel Chief Offers a Gloomy Outlook",negative,-0.9183154702186584
2008-10-29,I have seen some computers listed as having an “Atom” processor.,neutral,0.0008337479084730148
2008-10-29,What is this and can it run Windows?,neutral,0.010204361751675606
2008-10-29,A Chip for Tiny PCs,neutral,-0.007036857306957245
2008-11-12,The forecasts suggest that the technology industry is about to enter a slump that will rival or possibly exceed the dot-com bust of 2001.,negative,-0.9040507078170776
2008-11-12,"Led by Intel, Chip Makers Cut Outlook",negative,-0.9034891128540039
2008-11-15,"In the span of a few weeks, orders for technology products have collapsed and workers have been laid off.",negative,-0.9641135334968567
2008-11-15,"Tech Companies, Long Insulated, Now Feel Slump",negative,-0.6916890740394592
2008-11-17,"While Intel’s Core i7 microprocessor has received glowing reviews, there is good reason for caution.",positive,0.8311867117881775
2008-11-17,"Burned Once, Intel Prepares New Chip Fortified by Constant Tests",neutral,0.08002017438411713
2008-12-02,Intel will announce a deal to become the sole supplier of flash memory for a coming Hitachi line of computer drives.,positive,0.6920986175537109
2008-12-02,"In Deal With Hitachi, Intel Will Expand Its Flash Memory Business",positive,0.8795604109764099
