Date,Sentence,Prediction,sentimentScore
2007-01-04,"Building a poor man’s home media network for less than $1,000.",neutral,-0.3098055422306061
2007-01-04,Pulling It All Together,neutral,0.2139110267162323
2007-01-09,"Quiznos, the sandwich shop chain, named Gregory D. Brenneman, a turnaround expert who is credited with revitalizing Burger King and Continental Airlines, president and chief executive on Monday.",neutral,0.14556241035461426
2007-01-09,"Mr. Brenneman’s private equity firm, TurnWorks, has also taken an equity stake in Quiznos, the company said, although it did not disclose financial details.",neutral,0.04607345536351204
2007-01-09,Turnaround Expert Is Named Quiznos Chief,neutral,0.030370544642210007
2007-01-10," CBS is sitting on about $3 billion in cash, and with the hiring last November of new-media dealmeister Quincy Smith, everybody has been wondering what the company has in store.",neutral,-0.03124702349305153
2007-01-10,CBS Chief Executive Leslie Moonves offered little in the way of hints either during his keynote address Tuesday at the Consumer Electronics Show or in a backstage interview with paidContent’s Staci D. Kramer.,neutral,-0.031999051570892334
2007-01-10,"Moonves Speaks, But Offers Few Hints on M&A",neutral,0.0005821920931339264
2007-01-18,Fannie Mae’s former chief executive is seeking to bar the company’s regulator from ruling on a lawsuit seeking more than $84 million in penalties against him.,negative,-0.8450008034706116
2007-01-18,Curb Sought on Fannie Mae Regulator,negative,-0.6036968231201172
2007-01-18,"Fannie Mae’s former chief executive, Franklin D. Raines, asked a federal appeals court Wednesday to bar the company’s regulator from ruling on a lawsuit seeking more than $84 million in penalties against him.",negative,-0.8313833475112915
2007-01-18,"James B. Lockhart, director of the Office of Federal Housing Enterprise Oversight, “has prejudged the charges” against him “and cannot serve as the impartial decision maker that due process requires,” Mr. Raines said in a filing with the United States Court of Appeals for the District of Columbia Circuit.",negative,-0.6193231344223022
2007-01-18,"On Dec. 18, the agency sued Mr. Raines; a former chief financial officer, J. Timothy Howard; and Fannie Mae’s former controller, Leanne G. Spencer, for more than $215 million, citing their roles in profit overstatements of $6.3 billion from 2001 until mid-2004.",negative,-0.9100599884986877
2007-01-18,Raines Seeks Curb on Fannie Mae Regulator,negative,-0.6159586310386658
2007-01-21,"An article last Sunday about Martek Biosciences misidentified the headquarters city of D. A. Davidson & Company, which employs Timothy S. Ramey, a food and beverage analyst who now has an “underperform” recommendation on Martek’s stock.",negative,-0.9008975028991699
2007-01-21,"Although Mr. Ramey’s office is in Portland, Ore., D. A. Davidson is based in Great Falls, Mont.",neutral,-0.005620701238512993
2007-01-21,Correction,neutral,0.026768818497657776
2007-01-22,A partnership between Usmagazine.com and Veoh.com will create a celebrity entertainment channel on Veoh.,positive,0.6840761303901672
2007-01-22,An Internet Video Partnership From 2 Lions of Old Media (Eisner and Jann Wenner),positive,0.49030885100364685
2007-01-22,"The chief executive of Hewlett-Packard, Mark V. Hurd, told Congressional lawmakers that his sale of company shares on Aug. 25 was “totally unrelated” to the fact that he was questioned the same day about an ill-fated internal investigation.",negative,-0.6058392524719238
2007-01-22,"The sale of 100,000 shares of Hewlett-Packard was made during a scheduled window for trading by executives, Mr. Hurd wrote in a letter dated Dec. 21 that he sent to the chairman of the House Energy and Commerce Committee, John D. Dingell, a Michigan Democrat.",neutral,0.03408999741077423
2007-01-22,"On the same day the trade was completed, Mr. Hurd was interviewed by lawyers from the law firm of Wilson Sonsini Goodrich & Rosati.",neutral,0.05813773721456528
2007-01-22,The lawyers were looking into techniques used by Hewlett-Packard to identify the source of boardroom leaks.,neutral,-0.08133785426616669
2007-01-22,H.P.,neutral,0.03744767978787422
2007-01-22,Chief Defends Timing of Stock Sale,neutral,-0.021575719118118286
2007-01-24,Bank of America had argued that the law restricting a bank to no more than 10 percent of the nation’s deposits is “antiquated” and anticompetitive.,negative,-0.8251909613609314
2007-01-24,Big Bank Stops Effort to Change Law Limiting Growth,negative,-0.5891429781913757
2007-01-24,"Bank of America‘s chairman and chief executive, Kenneth D. Lewis, said Tuesday that the company was backing away from a quiet lobbying effort to change a federal law that could prevent it from making major acquisitions.",negative,-0.8252612352371216
2007-01-24,"Just weeks after agreeing to initiate discussions with lawmakers to raise the possibility of lifting the 10 percent federal deposit cap, Kenneth D. Lewis told The New York Times that he had told bank representatives to “back off” from those plans.",neutral,0.08681264519691467
2007-01-24,Bank of America Tones Down Deposit Cap Stance,neutral,-0.09696364402770996
2007-01-25,"Dell's ATG D620 laptop includes a spill-resistant keyboard, heavy-duty case and 14-inch screen, which is visible in direct sunlight.",neutral,0.026130689308047295
2007-01-25,A Laptop Designed to Take a Licking and Keep on Ticking,neutral,-0.007464572787284851
2007-02-05,"Robert D. Novak, the writer who first named a C.I.A.",neutral,-0.005804326385259628
2007-02-05,"spy, has remained on the sidelines of a game he started.",negative,-0.46361055970191956
2007-02-05,Skipping Merrily Along as Others Take the Heat,neutral,0.06459870934486389
2007-02-05," Credit Suisse said Monday that it hired Michael D. Ryan, a former managing director at Goldman Sachs, as head of securities for its investment banking division.",neutral,0.1030745878815651
2007-02-05,"Mr. Ryan will join Credit Suisse’s New York office some time “midyear,” Credit Suisse said.",neutral,0.029137562960386276
2007-02-05,He will oversee Credit Suisse’s global securities businesses and serve on the management committee of its investment banking group.,neutral,0.026136456057429314
2007-02-05,"At Goldman Sachs, Mr. Ryan had been co-head of global equities.",neutral,-0.0015332289040088654
2007-02-05,"Revolving Door: Credit Suisse, C.E.",neutral,0.02582978829741478
2007-02-05,Unterberg,neutral,0.040419891476631165
2007-02-06,"The asset manager Janus Capital Group said Monday that its chief financial officer, Dave R. Martin, and general counsel, John H. Bluher, were leaving the firm in unrelated departures.",negative,-0.727691113948822
2007-02-06,"Three months ago, the chief executive, Gary D. Black, stepped down as chief investment officer in favor of two co-chief investment officers to focus on growing the business.",neutral,0.04970449581742287
2007-02-06,Two Executives to Leave Janus Capital,negative,-0.6383191347122192
2007-02-16,"Reactrix, which makes interactive advertising displays projected on shopping mall floors, said it closed a $45 million Series D funding round, led by D.E.",positive,0.5309234857559204
2007-02-16,"Shaw Group and Menlo Ventures, both new investors.",neutral,0.07225289940834045
2007-02-16,"The funding will go toward expanding its network of malls and theaters and developing new technology, the company said.",positive,0.8183555006980896
2007-02-16,VC’s Light Up Reactrix With $45 Million,neutral,0.11293736100196838
2007-02-21,New York City’s first substantial campus for the life sciences will break ground between East 28th and 29th Streets and First Avenue and Franklin D. Roosevelt Drive.,neutral,0.1583079695701599
2007-02-21,Bringing Laboratory Space Back to New York,neutral,0.2667710781097412
2007-03-06,"For the two activist hedge funds who had long called for a sale of Topps, Tuesday’s announcement that the baseball card maker would sell itself was hardly cause for celebration.",neutral,0.04734925925731659
2007-03-06,"Topps director Arnaud Ajdler of Crescendo Partners — one of the two funds that eventually won representation on the Topps board — quickly came out against the proposed $385 million sale to Tornante, Michael D. Eisner’s investment firm, and Madison Dearborn Partners, a Chicago-based buyout firm.",negative,-0.7787551283836365
2007-03-06,"For Activist Investors, Topps Sale Is Not Sweet Deal",neutral,0.06393949687480927
2007-03-08,The Canon D50 records to a mini-DVD but uses a 5.39-megapixel picture sensor to improve the picture quality.,positive,0.4937087595462799
2007-03-08,A Palm-Size DVD Camcorder and a Handful of Ambition,neutral,-0.0018261298537254333
2007-03-08,"David D. French, chief executive of the chip maker Cirrus Logic, has resigned over his involvement in the company’s past stock option grant practices, the company said on Wednesday.",negative,-0.9036082029342651
2007-03-08,"Michael L. Hackworth, the former chief executive and current chairman, will be acting chief of the company he helped found, Cirrus said in announcing the results of an internal inquiry.",neutral,-0.00015820562839508057
2007-03-08,Cirrus Logic Chief Resigns Over Options,negative,-0.754734992980957
2007-03-09,"Two former executives at the computer maker Gateway were found liable on civil claims that they manipulated financial results to meet Wall Street expectations in 2000, the Securities and Exchange Commission said on Thursday.",negative,-0.8734886646270752
2007-03-09,"The verdicts against Gateway’s former chief financial officer, John J. Todd, and the former controller, Robert D. Manza, were announced by a federal jury in San Diego after a three-week trial, the S.E.C.",neutral,-0.3831174373626709
2007-03-09,said.,neutral,0.07623650878667831
2007-03-09,Ex-Gateway Officers Found Liable in Trial,negative,-0.6107345223426819
2007-03-13,"While hedge funds confidently flex their muscles in the markets and in boardrooms, in Washington they are experiencing the awkward growing pains of a relatively new industry coming to grips with its own power.",neutral,0.10978902876377106
2007-03-13,"Some hedge funds like D. E. Shaw and Cerberus Capital Management have spent time and money in the capital, but most funds have been content to hope Washington will not rear its regulatory head.",neutral,-0.14471182227134705
2007-03-13,"In Lobbying Dance, Hedge Funds Are Still Learning the Steps",neutral,0.06326719373464584
2007-03-14,"While investment banks are scrambling to get into the hedge fund business, officials say they need to know more about the industry.",neutral,0.039880380034446716
2007-03-14,House Panel Ponders the Growth and Risk of Hedge Funds,neutral,-0.0006897244602441788
2007-03-14,"In a strange coincidence, Lehman Brothers‘ announcement that it had bought a 20 percent stake in D. E. Shaw, a $29 billion hedge fund that is among the largest and oldest funds in the business, came the same day that the House Financial Services Committee held a hearing on hedge funds.",neutral,0.3023395538330078
2007-03-14,House Panel Ponders Risk of Hedge Funds,neutral,-0.28431692719459534
2007-03-14,"d Salzgitter, a German steel company, has dropped out of talks to buy a Canadian rival, Algoma Steel, after word of the secret negotiations leaked, driving up the price of a takeover and piquing the interest of other potential suitors.",negative,-0.9558563232421875
2007-03-14,"While Salzgitter has walked away four weeks after starting talks, there are other “interested parties” that surfaced after news of the Salzgitter discussions became public last month, Algoma said Tuesday, adding that it plans to enter into negotiations with them in hopes of salvaging a sale.",neutral,0.09441050887107849
2007-03-14,"Algoma Loses One Suitor, but Sees Others on the Horizon",negative,-0.7142006754875183
2007-03-15,"Update: Kenneth D. Moelis will resign from UBS, DealBook reported Monday.",negative,-0.7104863524436951
2007-03-15,Go here for the latest item.,neutral,0.020323146134614944
2007-03-15,Another Departure in Store at UBS?,negative,-0.5682879090309143
2007-03-16,"Kenneth D. Moelis, the president of UBS’s investment bank in New York, is threatening to leave the firm, according to people briefed on the matter.",negative,-0.7241361737251282
2007-03-16,Future of UBS Executive Part of Wall Street Chatter,neutral,0.03655587136745453
2007-03-16,"As reports surface that Kenneth D. Moelis, the president of UBS‘s investment bank in New York, is threatening to leave the firm, speculation on the whys and wherefores of the situation is increasing.",negative,-0.8203088641166687
2007-03-16,"TXU, EchoStar Deals May Have Role in UBS Turmoil",neutral,0.014282502233982086
2007-03-19,"The president of UBS’s investment bank who helped turn the Swiss bank into a mergers and acquisitions giant, is said to be leaving the firm.",neutral,-0.3949989676475525
2007-03-19,Prominent UBS Executive to Leave,neutral,-0.3626863360404968
2007-03-19,"After an avalanche of reports surfaced that Kenneth D. Moelis, the president of UBS‘s investment bank, was considering ditching the firm following a series of run-ins with the Swiss bank’s management over private equity deals, The New York Times reports that Mr. Moelis, who helped turn the Swiss bank into a mergers and acquisitions giant, is indeed leaving.",negative,-0.7688336372375488
2007-03-19,UBS to Lose President of Investment Bank,negative,-0.7691448926925659
2007-03-19,"It’s official: Kenneth D. Moelis, the president of UBS‘ investment bank, is leaving.",neutral,-0.24575559794902802
2007-03-19,"DealBook obtained a copy of an internal memo by Huw Jenkins, the chairman and chief executive of UBS’ investment bank, and Peter A. Wuffli, the president of the firm’s Group Executive Board, announcing the veteran investment banker’s departure.",neutral,-0.27787715196609497
2007-03-19,Moelis Is Leaving UBS: The Memo,neutral,-0.18085330724716187
2007-03-20,"The chairman and chief executive of Bank of America, Kenneth D. Lewis, received compensation valued at nearly $23 million in 2006, according to a regulatory filing Monday.",neutral,0.004407122731208801
2007-03-20,"Mr. Lewis, 59, received $1.5 million in salary, $6.5 million in nonequity incentive plan compensation, and stock and option awards that were valued by the company at $14.6 million on the dates they were issued.",neutral,0.04930002987384796
2007-03-20,"At Bank of America, $23 Million for Chief",neutral,0.049243927001953125
2007-03-26,"Even with a big gun pointed at the newspaper business, most of the weapons at The Los Angeles Times seemed to be pointed inside.",neutral,-0.4071806073188782
2007-03-26,The Circular Firing Squad in California,neutral,-0.13677912950515747
2007-03-26,"ECONOMIC DATA The Commerce Department will release revised figures for fourth-quarter gross domestic product (Thursday), which are expected to confirm a 2.2 percent annualized growth rate for the quarter.",positive,0.47912198305130005
2007-03-26,The department will also release data on durable goods orders for February (Wednesday).,neutral,0.049415264278650284
2007-03-26,"Economists forecast a 3.5 percent increase in orders for durable goods for the month, after an 8.7 percent decline in January.",positive,0.622805655002594
2007-03-26,The Labor Department will release its latest weekly reading of unemployment claims (Thursday).,neutral,-0.30377525091171265
2007-03-26,The Week Ahead,neutral,0.016221344470977783
2007-04-03,"Biomet, an orthopedics maker, said in a regulatory filing that Daniel P. Hann and Gregory D. Hartman knew or should have known of the backdating and the potential “ramifications.”",neutral,0.011657137423753738
2007-04-03,Another Biomet Executive Resigns After Stock Options Backdating Inquiry,negative,-0.9028742909431458
2007-04-04,"Publishing & Broadcasting, which is owned by James D. Packer, agreed to buy casinos in Canada for $1.2 billion.",positive,0.5098128914833069
2007-04-04,Australian Group Buys Canadian Casinos,neutral,-0.006101548671722412
2007-04-04,"Australia’s biggest gaming company, Publishing & Broadcasting, which is owned by James D. Packer, agreed Wednesday to buy casinos in Canada for 1.37 billion Canadian dollars ($1.2 billion).",positive,0.6579539775848389
2007-04-04,"Mr. Packer joined with the Macquarie Bank to buy Gateway Casinos Income Fund, a casino operator in western Canada, for 886 million Canadian dollars, Publishing & Broadcasting said.",positive,0.5441911220550537
2007-04-04,The venture also offered to buy two closely held casino management companies.,neutral,0.2378900945186615
2007-04-04,Australian Group Buys Canadian Casinos,neutral,-0.006101548671722412
2007-04-04,"Closing a $52 million Series D round of financing, Boston’s Surface Logix has raised $20 million to help fund clinical development of its small molecule drug candidates.",positive,0.8365975618362427
2007-04-04,"The round was fed by existing investors such as Venrock Associates, Arch Venture Partners, CW Group, HBM BioVentures, and Unilever Technology Partners.",neutral,0.13722185790538788
2007-04-04,Surface Logix Gets $20 Million in Series D Round,neutral,0.03959248587489128
2007-04-05,The planned sale would contradict earlier reports that Apollo Management was planning an initial public offering.,neutral,0.07111269980669022
2007-04-05,Equity Firm Is Seen Ready to Sell a Stake to Investors,neutral,0.0930192619562149
2007-04-05," Recent reports to the contrary, a Blackstone-style initial public offering is not at the top of the agenda for Apollo Management, the private equity firm founded by Leon D. Black.",neutral,0.01972052827477455
2007-04-05,"The firm is actually seeking to sell a minority stake in the business to private investors, people close to the firm said.",neutral,0.033898551017045975
2007-04-05,"DealBook first mentioned the possibility of a stake sale in this early Wednesday post, not long after reports surfaced that Apollo was working with investment bankers on a possible I.P.O.",neutral,0.07778316736221313
