Date,Sentence,Prediction,sentimentScore
2014-01-07,"The deal allows Sandvik, a Swedish company that provides specialized equipment for the mining and construction industries, to enter a new product area.",positive,0.7695380449295044
2014-01-07,Sandvik to Buy Texas Oil Drilling Equipment Company for $740 Million,neutral,0.03284546732902527
2014-01-08,JPMorgan’s legal penalties now total $20 billion.,negative,-0.747640073299408
2014-01-08,| A former SAC employee is expected to be the first witness called in insider trading trial.,neutral,-0.17845797538757324
2014-01-08,"| Goldman Sachs is reshuffling its technology, media and telecommunications group.",neutral,0.314360648393631
2014-01-08,JPMorgan Settles Madoff Charges,neutral,0.001391872763633728
2014-01-15,The Anheuser-Busch division of Anheuser-Busch InBev has a game plan for Super Bowl XLVIII that focuses on Bud Light and Budweiser.,neutral,0.031019635498523712
2014-01-15,"For Super Bowl, It’s Back to Basics for Anheuser-Busch",neutral,0.041394151747226715
2014-01-17,"To regain the asset it had sold off, Anheuser-Busch InBev appears poised to pay a price that will allow Oriental Brewery’s current owners, Kohlberg Kravis Roberts and Affinity Equity Partners, to more than double their money.",positive,0.8702282905578613
2014-01-17,Anheuser-Busch InBev Said to Be Near $4.5 Billion Deal for Korean Brewer,neutral,0.21220719814300537
2014-01-20,Anheuser-Busch InBev had sold Oriental Brewery to the private equity firm Kohlberg Kravis Roberts for $1.8 billion nearly five years ago.,neutral,0.019296854734420776
2014-01-20,Anheuser-Busch InBev Buying Back Oriental Brewery for $5.8 Billion,neutral,0.02036541886627674
2014-01-21,"The World Economic Forum in Davos, Switzerland, is as notable for its absentees as for its attendees.",neutral,-0.25998422503471375
2014-01-21,| Deutsche Bank’s $1 billion fourth-quarter loss has European markets on edge.,negative,-0.6129904985427856
2014-01-21,| IBM is renewing efforts to sell its server business.,positive,0.7419530153274536
2014-01-21,| Anheuser-Busch buys back s South Korean brewer.,positive,0.53626549243927
2014-01-21,Who’s In and Who’s Out at Davos,neutral,-0.04200872778892517
2014-01-23,H&M will poll the public about how its commercial should end in an effort to make the spot more effective and engaging.,neutral,0.36523714661598206
2014-01-23,"Lessons Learned, H&M Returns to Super Bowl With New Beckham Spot",positive,0.8227051496505737
2014-01-28,The 2014 Detroit auto show attracted its highest attendance since 2003; Ford says the new aluminum-body F-150s will be cheaper and easier to repair.,positive,0.7036245465278625
2014-01-28,Wheelies: The Detroit Rising Edition,neutral,0.08548155426979065
2014-02-04,"A golden lab puppy who refuses to leave his Clydesdale “bud” won plaudits; a Coca-Cola spot evoking the nation’s multicultural populace drew mostly positive reactions, but some raw comments as well.",positive,0.5024975538253784
2014-02-04,‘Puppy Love’ Warms Hearts; Diversity Draws Mixed Response,neutral,0.11177299171686172
2014-02-05,"The move could help Anheuser-Busch InBev capitalize on the popularity of craft beer, bringing a Long Island beer company with a devoted following into a family of brands that includes Budweiser, Stella Artois and Beck’s.",positive,0.8667713403701782
2014-02-05,Anheuser-Busch InBev Buys Blue Point Brewing Company,neutral,0.01632235199213028
2014-02-07,"Subaru, Kia, BMW and Nissan were among the automakers to unveil production vehicles and concepts at this year’s show.",neutral,0.11400488018989563
2014-02-07,Highlights From the Chicago Auto Show,neutral,0.03828537464141846
2014-02-21,The German automaker is seeking to acquire the outstanding shares it doesn’t already own in Scania.,neutral,0.08264907449483871
2014-02-21,It hopes to combine the company with its other commercial vehicle operations.,neutral,0.18671010434627533
