Date,Sentence,Prediction,sentimentScore
2014-01-02,"Shell, which beat out more than a dozen bidders, will pay $3.8 billion in cash to the Spanish energy company and assume about $1.6 billion in leases related to ship charters.",neutral,0.3927203416824341
2014-01-02,Repsol Completes Sale of Natural Gas Assets to Shell,neutral,0.04013332352042198
2014-01-22,"David Einhorn’s firm, Greenlight Capital, said in a quarterly letter to investors on Tuesday that it had taken stakes in BP of Britain and Anadarko Petroleum, which is based in Houston.",neutral,0.06195239722728729
2014-01-22,Einhorn Discloses Stakes in BP and Anadarko,neutral,-0.0006176959723234177
2014-01-24,"Robert W. Dudley, the chief executive, says BP is ready to move on from the spill, and to focus on exploration and deal-making.",positive,0.5437783598899841
2014-01-24,"At BP, There’s Optimism in the Corner Office",neutral,0.15882349014282227
2014-02-04,The oil giant reported lower earnings for the fourth quarter as production declined and its refineries struggled to turn a profit.,negative,-0.9600069522857666
2014-02-04,"Profit Drops for BP, but Still Beats Analysts’ Forecasts",negative,-0.7925518751144409
2014-03-04,A federal appeals panel ruled that BP must pay gulf companies for damages without requiring proof of harm by the Deepwater Horizon spill.,negative,-0.41692614555358887
2014-03-04,Court Says BP’s Spill Agreement Is Binding,neutral,0.08813603967428207
2014-03-08,"In “The Evolution of a Corporate Idealist,” a former BP employee sees globalization and the Internet as pushing more companies to social responsibility.",neutral,0.06461011618375778
2014-03-08,How Big Business Can Take the High Road,neutral,0.006863340735435486
2014-03-13,"Under the agreement, BP will be allowed to bid for new leases as early as next Wednesday, but only as long as the company passes muster on ethics, corporate governance and safety procedures.",neutral,0.11225951462984085
2014-03-13,U.S. Agrees to Allow BP Back Into Gulf Waters to Seek Oil,positive,0.7532751560211182
2014-03-14,The agreement to allow bidding on oil leases with the United States comes four years after a rig explosion and devastating oil spill in the Gulf of Mexico.,positive,0.7305063605308533
2014-03-14,"Lifting of Ban Should Return BP to Competition, Analysts Say",positive,0.9069406390190125
2014-03-15,The chance to add new drilling sites in the Gulf of Mexico is a milestone in the company’s recovery from the Deepwater Horizon disaster.,positive,0.9019047617912292
2014-03-15,"End of Gulf Ban Allows BP to Expand in Familiar, Lucrative Territory",positive,0.8851205110549927
2014-03-20,Winning so many leases so soon after being cleared to seek new drilling rights was an important milestone in the company’s quest to recover from the 2010 disaster in the Gulf of Mexico.,positive,0.9099032282829285
2014-03-20,"Ban Lifted, BP Bids $42 Million to Win Gulf Oil Leases in U.S. Auction",positive,0.8340564370155334
2014-03-28,"Any stricter sanctions on Russia for its occupation of Crimea would likely be opposed by Exxon Mobil, BP and other companies with projects in Russia.",negative,-0.8092743158340454
2014-03-28,Potential Crackdown on Russia Risks Also Punishing Western Oil Companies,negative,-0.8757989406585693
2014-04-01,"Kenneth Feinberg, who oversaw compensation after 9/11 and the BP oil spill, will help in deliberations over whether to pay damages to victims of accidents in cars with faulty ignition switches.",neutral,0.05080287903547287
2014-04-01,G.M.,neutral,0.048085395246744156
