Date,Sentence,Prediction,sentimentScore
2007-03-16,Madison Avenue’s ability to contribute phrases to the vernacular has always been prized as a way to amplify an ad campaign.,neutral,0.3933776319026947
2007-03-16,Do You Know Where Your Slogan Is?,neutral,0.0088910311460495
2007-03-22,"Bluetooth headphones are becoming more popular, and the Insignia player promises stereo playback through compatible devices.",neutral,0.42546766996383667
2007-03-22,"An MP3 Player With Bluetooth: Look, Ma, Stereo but No Wires",neutral,-0.03353211283683777
2007-04-10,"Here’s a peculiar investment strategy: Sell something for $39, and then buy it back less than a year later for more than $100.",neutral,0.02294240891933441
2007-04-10,That’s essentially what MasterCard International is proposing to do with its own stock.,neutral,0.017788046970963478
2007-04-10,"MasterCard Sells Low, Buys High",neutral,0.06881849467754364
2007-06-28,"Playboy Enterprises will open a 40,000-square-foot entertainment complex, the Playboy Mansion Macao, with dining, entertainment and retail shops, in Macao in late 2009, the chief executive, Christie Hefner, said.",neutral,0.062075819820165634
2007-06-28,"The complex will be part of the Macao Studio City complex, with the gambling operations run by a casino operator, Melco International Development, Ms. Hefner, left, said in an interview in Macao.",neutral,0.03266981244087219
2007-06-28,"Macao Studio City, a $2 billion joint venture between the Hong Kong-listed ESun Holdings and partners including Silver Point Capital, is next to the Lotus Bridge, which will link Macao and the mainland Chinese city of Zhuhai.",neutral,0.18476814031600952
2007-06-28,"It will include a film studio, a million-square-foot shopping mall, and gambling and convention sites.",neutral,0.07166748493909836
2007-06-28,China: Playboy to Open Entertainment Complex in Macao,neutral,0.20950710773468018
2007-06-28,"UBS Securities, the investment-banking division of the Swiss-based UBS, was accused by Massachusetts regulators of dishonest and unethical practices in dealings with hedge-fund advisers.",negative,-0.9238319993019104
2007-06-28,"The subsidiary, based in Stamford, Conn., gave hedge-fund managers below-market rent, low-interest personal loans and other benefits to retain and increase business, according to a complaint from the office of William Galvin, the secretary of the commonwealth and its top securities regulator.",negative,-0.4471195340156555
2007-06-28,The complaint also accuses UBS of failing to supervise gifts and gratuities.,negative,-0.9203576445579529
2007-06-28,"The action, filed with the state’s Securities Division, seeks a cease-and-desist order, a censure and an undisclosed administrative fine, the statement said.",negative,-0.6636754274368286
2007-06-28,"Doug Morris, a UBS spokesman in New York, declined to comment.",neutral,-0.19108854234218597
2007-06-28,Switzerland: Massachusetts Challenges U.S. Unit of UBS,neutral,-0.03073544055223465
2007-06-30,"Apple has lots of iPhones in stock, but AT&T takes hours to activate them.",neutral,0.009860003367066383
2007-06-30,IPhone: Waiting for Ma Bell,neutral,0.030966628342866898
2007-07-01,An article on June 17 about the increasing use of debit and credit cards for small purchases referred incorrectly to the overall value of such transactions.,neutral,0.046960607171058655
2007-07-01,"According to research by MasterCard, transactions of less than $5 totaled $1.32 trillion, not billion, last year.",neutral,-0.026378395035862923
2007-07-01,Who Needs Pocket Change When You’ve Got Plastic?,neutral,-0.27327921986579895
2007-07-22,Wireless carriers in the United States are spiritual descendants of dear Ma Bell: they view total control over customers as their inherited birthright.,neutral,0.051280952990055084
2007-07-22,When Mobile Phones Aren’t Truly Mobile,neutral,-0.29725849628448486
2007-08-02,"MasterCard saw its second-quarter profit nearly double, but shares slid after the company fell short of the most optimistic analyst estimates.",negative,-0.9630041122436523
2007-08-02,MasterCard Meets Most Estimates,neutral,0.03965697064995766
2007-08-11,How difficult is it to become an Internet millionaire?,neutral,-0.24932819604873657
2007-08-11,"With a good idea, not very, says Guy Kawasaki.",neutral,0.10669170320034027
2007-08-11,But the result may not achieve greatness.,neutral,0.02042388916015625
2007-08-11,Easy Money Isn’t That Easy,neutral,-0.11494296789169312
2007-08-25,"Credit card companies are increasingly marketing a variety of cards that are a hybrid of credit, debit and gift cards to teenagers.",neutral,0.07979954779148102
