Date,Sentence,Prediction,sentimentScore
2007-01-01,Plenty of newcomers — with names like hakia and Snap — are trying to beat Google at its own game.,neutral,0.19514748454093933
2007-01-01,"In Silicon Valley, the Race Is On to Trump Google",neutral,-0.15157198905944824
2007-01-01,"The gift of laptops loaded with Windows Vista is only the latest of Microsoft’s efforts to engage the technologically aware, and often anti-Microsoft, blogging community.",neutral,0.16934554278850555
2007-01-01,Costly Gift From Microsoft Is an Invitation to Blog,neutral,-0.08452127873897552
2007-01-01,An anonymous computer programmer claims to have hacked the copy protection used in both the HD-DVD and Blu-ray high-definition DVD formats.,negative,-0.9015493988990784
2007-01-01,Studios’ DVDs Face a Crack in Security,negative,-0.7217559218406677
2007-01-02,"As Google continues to outmaneuver its main search rivals, Yahoo and Microsoft, plenty of newcomers – with names like Powerset, hakia, ChaCha and Snap – are trying to beat the company at its own game.",neutral,0.3172024190425873
2007-01-02,"And Wikia, a company started by a founder of Wikipedia, plans to develop a search engine that, like the popular Web-based encyclopedia, would be built by a community of programmers and users.",neutral,0.056870173662900925
2007-01-02,"In Silicon Valley, the Race Is On to Trump Google",neutral,-0.15157198905944824
2007-01-07,Technology stocks began a rally in mid-July that lifted the Nasdaq by more than 18 percent by year-end.,positive,0.8930116295814514
2007-01-07,But how long can the rally last?,neutral,-0.20869043469429016
2007-01-07,A Sizzling Six Months for Technology Shares,negative,-0.4858340322971344
2007-01-07,"Botnet programs and other malicious software largely take aim at PCs running the Microsoft Windows operating system, because Windows’ ubiquity makes it fertile ground for network-based attacks.",negative,-0.5917659401893616
2007-01-07,Tips for Protecting the Home Computer,neutral,0.051547300070524216
2007-01-08,"Video game makers are shipping more consoles than expected, setting the stage for what may be a multiyear battle among Sony, Microsoft and Nintendo.",negative,-0.5249962210655212
2007-01-08,"Console Sales Beat Goals, Makers’ Early Reports Say",positive,0.8247742056846619
2007-01-08,Bill Gates unveiled a partnership with the Ford Motor Company to build Microsoft technology into several Ford models.,positive,0.7925926446914673
2007-01-08,Microsoft and Ford Combine Products,neutral,0.03156932443380356
2007-01-11,"When shopping for a new computer, what kind of graphics card will be necessary to run Microsoft’s Windows Vista?",neutral,0.016216902062296867
2007-01-11,Getting Graphic With Vista,neutral,0.04821045696735382
2007-01-11,"The notion of a computer at the heart of every home gets a little bump with the multitasking Hewlett-Packard's $1,800 TouchSmart PC.",neutral,0.29526272416114807
2007-01-11,"The Computer With a TV, and a Family's Virtual Bulletin Board",neutral,-0.001757979393005371
2007-01-11,Microsoft has so far failed to fire the imagination of the buying public since the Zune digital music player’s release last fall.,negative,-0.9020731449127197
2007-01-11,"Knock, Knock, Microsoft.",neutral,0.019653983414173126
2007-01-11,It’s SanDisk,neutral,0.04245252162218094
2007-01-16,"Netflix is introducing a service to deliver movies and television shows directly to PCs, not as downloads but as streaming video.",neutral,0.415933758020401
2007-01-16,Netflix to Deliver Movies to the PC,neutral,0.032169193029403687
2007-01-17,"Going head-to-head with Microsoft is a risky business strategy, but investors in a mail server technology developer, PostPath are confident enough to give the company an additional $15 million.",positive,0.7359244227409363
2007-01-17,"The Series C financing for PostPath closed in late December and was led by a new investor, Jafco Ventures.",neutral,0.05599188059568405
2007-01-17,"Two previous investors Matrix Partners and Worldview Technology Partners also participated in the financing, which brings the company’s total funding to $30 million.",neutral,0.46152475476264954
2007-01-17,PostPath has developed a Linux-based exchange server that integrates fully with Microsoft’s own Exchange server.,neutral,0.09884818643331528
2007-01-17,E-Mail Start-Up Gets Cash to Take on Microsoft,neutral,0.17683815956115723
2007-01-18,"After a radical redesign, Microsoft's Word, Excel and PowerPoint applications are almost totally new programs.",neutral,0.04406372830271721
2007-01-18,Purging Bloat to Fashion Sleek Software,neutral,-0.17071151733398438
2007-01-22,Major technology companies are consolidating their support into the Linux Foundation to help the operating system compete more effectively against Microsoft.,positive,0.6700428128242493
2007-01-22,Group Formed to Support Linux as Rival to Windows,neutral,0.16575884819030762
2007-01-23,"Isilon‘s successful initial public offering could inspire other midrange data-storage companies to make a similar move, The 451 Group suggests in a report.",positive,0.8164289593696594
