Date,Sentence,Prediction,sentimentScore
2014-01-06,"The gene modulation and magnetic beads businesses will become part of GE Healthcare, and help General Electric offer new medicines, vaccines and diagnostics as part of its expanding life sciences business.",positive,0.49345433712005615
2014-01-06,G.E.,neutral,0.0415060818195343
2014-01-06,to Buy Health Care Units From Thermo Fisher Scientific,neutral,0.04442550241947174
2014-01-13,"As loyalty programs become more important for retailers, GE Capital Retail Bank will offer a product to help them track customers across online platforms and payment methods.",neutral,0.306931734085083
2014-01-13,GE Capital to Help Set Up Loyalty Programs for Retailers,neutral,0.21215492486953735
2014-01-16,"A group of smaller credit rating agencies outside the United States has formed Arc Ratings, a new company that the group hopes will provide a viable alternative to the so-called Big 3 credit rating agencies when it comes to international debt financing.",positive,0.748795747756958
2014-01-16,New Ratings Agency Hopes to Compete With Big 3 Outside U.S.,positive,0.9066858291625977
2014-01-17,"The fourth-quarter earnings of 53 cents a share, bolstered by growth in G.E.’s industrial businesses and an improving United States economy, were in line with expectations.",positive,0.9044729471206665
2014-01-17,General Electric’s Industrial Segments Lift Earnings,positive,0.20916369557380676
2014-01-21,"General Electric announced on Tuesday that it had agreed to purchase API Healthcare, a software and analytics firm that helps medical companies manage their work force.",positive,0.6545810699462891
2014-01-21,G.E.,neutral,0.0415060818195343
2014-01-21,to Buy Health Care Analytics Firm,neutral,0.064687579870224
2014-01-30,"President Obama, supported by many Republicans and business groups, has met opposition from labor and many Democrats on his push for fast-track approval of trade deals with Pacific Rim nations and Europe.",negative,-0.8993179798126221
2014-01-30,Obama and G.O.P.,neutral,0.07511972635984421
2014-01-30,Facing Opposition to Trade Pacts,negative,-0.5587280988693237
2014-01-31,"Mary L. Schapiro said her time would be spent on an array of university lectures, speaking engagements and corporate board work.",neutral,-0.0003920048475265503
2014-01-31,Former Chief of S.E.C.,neutral,-0.014907415956258774
2014-01-31,to Shift Consulting Job,neutral,-0.19374221563339233
2014-02-03,The post-recession reality is that the customer base for businesses that appeal to the middle class is shrinking as the top tier pulls even further away.,negative,-0.9658700823783875
2014-02-03,The Middle Class Is Steadily Eroding.,negative,-0.8834360837936401
2014-02-03,Just Ask the Business World.,neutral,0.02074478194117546
2014-03-04,"Jeffrey R. Immelt, the chief executive of General Electric, bought about 105,000 shares on Tuesday for a little more than $2.6 million, according to a company filing.",neutral,0.02467656508088112
2014-03-04,Immelt Spends His Cash Bonus on G.E.,neutral,0.03348027914762497
2014-03-04,Stock,neutral,0.04363793879747391
2014-03-10,"The company, which has sought to streamline itself in the years since the financial crisis, is emphasizing a “culture of simplification,” its chief executive, Jeffrey R. Immelt, wrote in an annual letter to shareholders published on Monday.",neutral,0.3627004027366638
2014-03-10,"In Annual Letter, G.E.",neutral,0.0591861791908741
2014-03-10,Chief Extols ‘Simplification’,neutral,0.04645868390798569
2014-03-13,"General Electric filed on Thursday to spin off its North American retail finance unit in an initial public offering, taking the next step to reduce the size of the GE Capital division.",neutral,0.06908448040485382
2014-03-13,G.E.,neutral,0.0415060818195343
2014-03-13,Files to Spin Off Retail Finance Unit,neutral,-0.0383564755320549
2014-03-14,The S.E.C.,neutral,0.014058621600270271
2014-03-14,unveiled a civil case against a 10th former SAC Capital employee.,negative,-0.8064173460006714
2014-03-14,| An internal investigation found that the Justice Department had repeatedly and significantly overstated its efforts to prosecute mortgage fraud.,negative,-0.8261601328849792
2014-03-14,| G.E.,neutral,0.03006191924214363
2014-03-14,filed to spin off its North American retail finance unit in an initial public offering.,neutral,-0.0021681543439626694
2014-03-14,| Lions Gate agreed to admit to wrongdoing and pay a $7.5 million fine for failing to disclose how it stopped a takeover by Carl C. Icahn in 2010.,negative,-0.9105104804039001
2014-03-14,S.E.C.,neutral,0.030168529599905014
2014-03-14,Takes Aim at Another Former SAC Employee,negative,-0.49041908979415894
2014-03-25,"The chief executives of LinkedIn, Ford Motor Company, Northwestern Mutual, Goldman Sachs and Intuit were among the top scorers in Glassdoor’s ranking of the leaders at 51 big companies.",neutral,0.16066916286945343
2014-03-25,Yahoo and General Electric anchored the bottom.,negative,-0.4586249887943268
2014-03-25,A Ranking of Top Executives by Their Employees,neutral,0.009577583521604538
2014-03-27,"Some of the largest multinational corporations have formed a global standards body intended to speed the connection of factories, oil rigs and hospitals to intricate systems of sensors and computers.",neutral,0.10474983602762222
2014-03-27,Consortium Wants Standards for ‘Internet of Things’,neutral,0.04670646786689758
2014-04-17,"General Electric posted first-quarter net profit of $3 billion and operating earnings of 33 cents a share, slightly above analysts’ estimate.",positive,0.40393710136413574
2014-04-17,G.E.,neutral,0.0415060818195343
