Date,Sentence,Prediction,sentimentScore
2014-01-13,"As loyalty programs become more important for retailers, GE Capital Retail Bank will offer a product to help them track customers across online platforms and payment methods.",neutral,0.306931734085083
2014-01-13,GE Capital to Help Set Up Loyalty Programs for Retailers,neutral,0.21215492486953735
2014-01-16,A complaint filed by the National Labor Relations Board says employees in several states were disciplined or fired after striking for better pay.,negative,-0.9522877931594849
2014-01-16,Walmart Is Facing Claims That It Fired Protesters,negative,-0.8974857926368713
2014-01-23,The retailer will award grants for new production processes as it pushes for more American-made products.,positive,0.8485091328620911
2014-01-23,Walmart Fund to Support U.S. Manufacturing,neutral,0.19509387016296387
2014-01-24,Walmart wants to encourage U.S. manufacturing.,positive,0.6017583608627319
2014-01-24,Legal marijuana businesses may be able to use banks.,neutral,0.038245297968387604
2014-01-24,And how to save money on car rentals.,neutral,0.05118577182292938
2014-01-24,Today in Small Business: Clam Diggers and Worm Harvesters,neutral,0.010237257927656174
2014-01-25,The layoffs will affect a combination of salaried assistant managers and hourly employees.,negative,-0.8954264521598816
2014-01-25,"Walmart Will Lay Off 2,300 Sam’s Club Workers",negative,-0.9455998539924622
2014-01-29,"Barclays is preparing to eliminate up to 400 jobs in its investment bank as part of its restructuring effort, according to a person familiar with the matter.",negative,-0.9493065476417542
2014-01-29,The bank is trying to reduce its annual costs by 1.7 billion pounds by 2015.,positive,0.6451791524887085
2014-01-29,Barclays to Cut Up to 400 Jobs in Its Investment Bank to Trim Costs,negative,-0.9455775022506714
2014-01-31,The giant retailer said winter storms and cuts in food stamps would affect its bottom line when it reports earnings in February.,negative,-0.9408915042877197
2014-01-31,Walmart Trims Its Profit Forecast for the 4th Quarter,negative,-0.9546799063682556
2014-02-20,The company reported a 21 percent drop in fourth-quarter earnings.,negative,-0.9651501178741455
2014-02-20,"Profits Fall for Walmart and Nordstrom, and They Forecast Weakness Ahead",negative,-0.968813955783844
2014-02-24,"Unnervingly blue eyes in an ad, and Walmart’s choice of a song is questioned.",negative,-0.7176316976547241
2014-02-24,Q. and A.,neutral,0.0380171574652195
2014-02-24,With Stuart Elliott,neutral,0.02111242711544037
2014-03-07,Cerberus will realize a lot of cost savings by combining Safeway with its Albertsons chain.,positive,0.8521756529808044
2014-03-07,"But competition from the likes of Walmart means cost savings may need to go to shoppers, not investors, writes Robert Cyran in Reuters Breakingviews.",positive,0.8167247176170349
2014-03-07,Safeway Customers May Be Big Winners With Cerberus,neutral,0.3254651129245758
2014-03-17,More than two dozen attorneys general encouraged five of the country’s largest retailers to follow the example of CVS and stop selling tobacco products in stores that also have pharmacies.,neutral,0.10161279141902924
2014-03-17,States Urge Retail Giants With Pharmacies to Stop Selling Tobacco Products,negative,-0.5698288679122925
2014-03-18,"The retailing giant is expected to announce that on March 26 it will begin allowing customers to convert their old games into credits in over 3,100 Walmart stores nationwide.",positive,0.5128555297851562
2014-03-18,Walmart to Offer Customers Credit for Used Video Games,neutral,0.12690643966197968
2014-03-20,"Walmart is waging an aggressive campaign for outdoor and garden business this spring for the first time, offering “Black Friday-like prices” on more than 60 items.",positive,0.5913246870040894
2014-03-20,Walmart’s New Push for Outdoor Sales,neutral,0.35712528228759766
2014-03-21,"On Friday, Walmart and Best Buy began offering a bundle of Microsoft’s Xbox One and Titanfall, a high-profile science fiction shooter game, for $450, a $50 price cut on the bundle.",positive,0.3546324670314789
2014-03-21,Another Price Cut for the Xbox One,negative,-0.3068786859512329
2014-03-28,"Sixteen companies have contributed to the Rana Plaza Donors Trust Fund, which aims to pay lost wages and medical bills for the victims of a garment factory collapse last year.",neutral,0.2939128875732422
2014-03-28,3 Retailers Give Aid to Bangladesh Workers,neutral,0.3858785629272461
2014-04-03,"The Walmart division says the survey, done with Gallup, will be the first of a quarterly series on the nation’s smallest businesses.",neutral,-0.12011554092168808
2014-04-03,Sam’s Club Releases Survey on ‘Microbusinesses’,neutral,0.05379399284720421
2014-04-10,The retail giant will carry Wild Oats products that will undercut brand-name organic competitors by at least 25 percent.,positive,0.8136528134346008
2014-04-10,"Walmart to Sell Organic Food, Undercutting Big Brands",positive,0.112643301486969
2014-04-15,"Not all criminal investigations of a company are alike, and there are telltale signs about how serious a threat one may present, writes Peter J. Henning in the White Collar Watch column.",neutral,-0.20615890622138977
2014-04-15,Not All Investigations Are Alike,neutral,-0.027776148170232773
2014-04-17,"Fees for the service will be $4.50 for up to $50 transferred and $9.50 for amounts above that, up to $900.",neutral,0.01616711914539337
2014-04-17,Walmart Will Enter Cash Wiring Business,neutral,0.019022516906261444
2014-04-25,"A group of dedicated farmworkers enlisted companies like McDonald’s, Walmart and Yum Brands to press tomato growers for better conditions.",positive,0.5772454738616943
2014-04-25,"In Florida Tomato Fields, a Penny Buys Progress",neutral,0.03789263963699341
2014-04-30,Walmart is teaming with AutoInsurance.com to allow consumers in eight states to review prices at several insurance companies.,positive,0.8032743334770203
2014-04-30,Insurance Site and Walmart in Deal to Sell Auto Policies,neutral,0.025913819670677185
2014-05-10,"In a rough year for many of its shoppers, adjusted financial results meant higher incentive pay for some of its executives.",positive,0.19901132583618164
2014-05-10,Making Ends Meet at Walmart,neutral,-0.03922674059867859
2014-05-15,"The bad weather was blamed for a difficult first quarter, but retailers’ earnings also reflected their own shopping constituencies, with higher-end chains doing better than those serving middle- and lower-income shoppers.",positive,0.6772198677062988
2014-05-15,Retailers Feel Economy’s Effects on Their Shoppers,negative,-0.6735042333602905
2014-05-16,"The city of Portland, Ore., said it had started divesting itself of holdings in the retail store because of its labor practices.",negative,-0.8712096810340881
2014-05-16,"Portland, Ore., Sheds Its Walmart Bonds",negative,-0.9544399380683899
2014-06-04,At least eight senior executives have left the giant retailer since reports of bribery in its international division surfaced two years ago.,negative,-0.8927071690559387
2014-06-04,"After Bribery Scandal, High-Level Departures at Walmart",negative,-0.7326986193656921
2014-06-06,"Mr. McMillon, 47, who started at the company at age 17, made an appearance at Walmart’s shareholders’ meeting on Friday.",neutral,0.028256453573703766
2014-06-06, Walmart’s New C.E.O.,neutral,0.0663657933473587
2014-06-06,Stresses Technology to Improve Customer Service,neutral,0.4822496473789215
2014-06-09,"On the Arkansas side of Texarkana, the poor gained access to Medicaid because of the Affordable Care Act.",positive,0.7351027131080627
2014-06-09,Those across the border in Texas did not.,neutral,-0.3452650010585785
2014-06-09,"In Texarkana, Uninsured and on the Wrong Side of a State Line",negative,-0.7463854551315308
2014-06-10,"The staff changes, including the departure of the president of Walmart.com, come as the company shifts toward a stronger online presence.",neutral,0.071635901927948
2014-06-10,Walmart Reorganizes E-commerce Personnel,neutral,0.1017112135887146
2014-06-17,"Six major stores, including Walmart and Costco, joined in the deal with New York’s attorney general.",neutral,0.31462499499320984
2014-06-17,"But there was one holdout, Amazon.",neutral,-0.07773060351610184
2014-06-17,Big Retailers Agree to List Unit Prices on Websites,neutral,0.03807339072227478
2014-07-18,G.E.,neutral,0.0415060818195343
2014-07-18,"plans to sell 125 million of stock in its North American retail finance unit, which handles credit cards for major retailers like Walmart, through an I.P.O.",neutral,0.07319042831659317
2014-07-18,this month.,neutral,0.06977398693561554
2014-07-18,G.E.,neutral,0.0415060818195343
2014-07-18,Aims to Raise $3 Billion in Synchrony Financial I.P.O.,neutral,0.3498326539993286
2014-07-21,"The toy company, along with other brands and big retailers, is starting to use the technology to lure shoppers, while manufacturers see opportunity in mass customization.",neutral,0.4225601255893707
2014-07-21,Hasbro to Collaborate With 3-D Printing Company to Sell Artwork,neutral,0.45509982109069824
2014-07-24,"The executive will be replaced as of Aug. 9 by Greg Foran, who is head of the company’s Asian unit.",neutral,-0.2835153341293335
2014-07-24,Walmart U.S. Chief Leaving; Successor Headed Asian Unit,neutral,-0.24744974076747894
2014-07-28,"Traders’ enthusiasm for Family Dollar’s stock on Monday reflected, in part, the notion that other bidders might emerge.",positive,0.7771936655044556
2014-07-28,But Dollar Tree’s offer may be the best deal Family Dollar investors are going to get.,positive,0.5865506529808044
2014-07-28,The Prospect of Other Bidders for Family Dollar,neutral,0.0016019195318222046
2014-08-08,Walmart is looking to grab a bigger share of the billions of health care dollars being spent in the United States and to benefit from the shifting delivery system that has resulted from the Affordable Care Act.,positive,0.8493166565895081
2014-08-08,"In Ambitious Bid, Walmart Seeks Foothold in Primary Care Services",positive,0.7865356206893921
2014-08-14,"Walmart’s domestic sales were flat instead of falling, Penney’s sharply cut its losses, and Kohl’s sales and profit fell.",negative,-0.9609221816062927
2014-08-14,Macy’s gave a forecast that will hinge on customer sentiment.,neutral,0.13647425174713135
2014-08-14,"Walmart, J.C. Penney and Other Retailers See a Tentative Shopper",neutral,0.09127761423587799
2014-08-17,"Quarterly earnings numbers from Home Depot, Target and others; a vote on oil-industry taxes in Alaska; possible Fed insights in a speech by its chairwoman; and data on housing starts, consumer prices and global economic recovery.",neutral,-0.05318686366081238
2014-08-17,Retailers Report Earnings in a Subdued Season,negative,-0.8326672911643982
2014-08-20,A look at what has happened in Massachusetts and more recently at Walmart is instructive.,neutral,0.021572746336460114
2014-08-20,"Why More, Not Fewer, People Might Start Getting Health Insurance Through Work",neutral,0.24515528976917267
2014-08-26,"Companies are invoking their attorney-client privilege to keep their in-house lawyers from speaking about possible crimes, Steven Davidoff Solomon writes in the Deal Professor.",neutral,-0.2916305959224701
2014-08-26,Keeping Corporate Lawyers Silent Can Shelter Wrongdoing,negative,-0.5649935007095337
2014-09-01,A flood of recent lawsuits and government enforcement actions accuse employers across the country of violating laws regulating employee pay.,negative,-0.9309216737747192
2014-09-01,More Workers Are Claiming ‘Wage Theft’,negative,-0.81386399269104
2014-09-05,Family Dollar is setting up an argument that Dollar General can never satisfy the Family Dollar board.,neutral,-0.293222039937973
2014-09-05,"That may not be the case, Steven Davidoff Solomon writes in the Deal Professor column.",neutral,-0.02422482520341873
2014-09-05,Dollar General’s Next Move After Family Dollar’s Rejection,neutral,-0.190803661942482
2014-09-10,"The company will take back 20,000 Sevylor River Racer tubes, which people use to float in the water, after consumers reported skin irritation, the Consumer Product Safety Commission said.",negative,-0.43879786133766174
2014-09-10,Coleman Recalls Inflatable Swimming Tubes From Walmart,neutral,-0.2176310420036316
2014-09-15,"Google, Walmart and Facebook are among companies in a new organization dedicated to creating standards and practices for the creation of big free software.",neutral,0.0803312212228775
2014-09-15,An Alliance of Major Players to Guide Open-Source Software,neutral,0.06912888586521149
