Date,Sentence,Prediction,sentimentScore
2011-07-01,"The defunct Canadian telecommunications equipment maker sold more than 6,000 patent assets to a consortium of technology and telecom giants for $4.5 billion in cash.",neutral,0.012454494833946228
2011-07-01,Apple and Microsoft Beat Google for Nortel Patents,negative,-0.10241618752479553
2011-07-05,"Walter Shimoon, a former employee at Flextronics, is the 12th person to plead guilty in the government’s investigation of expert network firms.",negative,-0.5791522264480591
2011-07-05,Executive Pleads Guilty to Leaking Apple Secrets,negative,-0.5644232630729675
2011-07-13,"With many wireless carriers feeling threatened by the growing prominence of Apple and Google, those companies’ success could provide the foundation of Research in Motion’s recovery.",positive,0.6739165782928467
2011-07-13,"To Rebound, RIM Courts the Carriers",neutral,0.1480647176504135
2011-07-19,Strong sales in emerging markets and to business customers helped Apple extend its streak of stellar performance in the last quarter without introducing any major new products.,positive,0.933165967464447
2011-07-19,Strong Sales Help Extend Apple Streak,positive,0.8869225978851318
2011-07-20,"Apple applies its “shake things up” policy in its new version of Mac OS X 10.7, known as Lion.",neutral,0.08491522073745728
2011-07-20,It shares two important factors with the iPad.,neutral,0.035750120878219604
2011-07-20,Upgrading to Lion Means Embracing the iPad,neutral,0.4313306212425232
2011-07-20,"Windows phones don’t have nearly as many apps as Apple and Android devices, but there are still some winners.",neutral,0.2997218668460846
2011-07-20,"The Best Apps, Although a Thinner Selection, for Windows 7",neutral,0.17586299777030945
2011-07-22,"The billionaire investor Carl C. Icahn had some advice for the cellphone unit, which was spun off earlier this year as an independent company: sell your patents.",neutral,0.025091908872127533
2011-07-22,"The Icahn Effect, Motorola Edition",neutral,-0.0073252394795417786
2011-07-22,Hulu has had little trouble filling its dance card with potential suitors.,neutral,0.12252005189657211
2011-07-22,Now Apple is said to be in the mix.,neutral,-0.0007322672754526138
2011-07-22,But is Apple willing to pay more than $2 billion for reruns of “Glee”?,neutral,0.12453541904687881
2011-07-22,Will Apple Pay Up for Hulu?,neutral,0.08718325197696686
2011-07-23,Can Apple retain its dominance after ending the iPhone’s exclusivity to AT&T?,neutral,0.4530739188194275
2011-07-23,A Verizon subscriber compares the packaging and content of rival devices.,neutral,0.0030117612332105637
2011-07-23,Worthy Rivals for the Crown in Smartphones,positive,0.5187622904777527
2011-07-24,"Must-have gadgets are causing a stir, with stores packed and inventory sparse.",negative,-0.8514339923858643
2011-07-24,"In China, Apple Finds a Sweet Spot",neutral,0.13582730293273926
2011-07-25,"There is little evidence that Bing has done much for Microsoft, and it might prove more valuable to the company’s shareholders if it were sold.",neutral,0.05428500846028328
2011-07-25,Bing Becomes a Distraction for Microsoft,negative,-0.5212202668190002
2011-08-10,A close look at earnings ratios and growth suggests the company may actually be worth $1 trillion.,neutral,0.15471409261226654
2011-08-10,Apple May Be Underpriced,negative,-0.7992417216300964
2011-08-10,"Apple surpassed Exxon Mobil as the stock markets’ most valuable company, although Exxon finished the day in the lead.",positive,0.7140769958496094
2011-08-10,"Briefly, Apple Reigns as the Most Valuable Company",neutral,0.16999319195747375
2011-08-10,"Phones can cause their own kind of stress, but there are several apps to help you calm down and even get to sleep.",neutral,-0.031822219491004944
2011-08-10,Curl Up With a Soothing Smartphone and Relax,neutral,0.044820234179496765
2011-08-15,"The acquisition, Google’s largest ever, would turn the maker of the Android mobile operating system into a full-fledged cellphone manufacturer, in direct competition with Apple.",positive,0.7656258344650269
2011-08-15,Google to Buy Motorola Mobility for $12.5 Billion,neutral,0.06527406722307205
2011-08-16,JPMorgan Chase estimated that 519 American multinational corporations had $1.37 trillion outside the United States.,neutral,-0.0008188076317310333
2011-08-16,The Deal Professor offers a way to repatriate some of that money.,positive,0.4864789545536041
2011-08-16,Tax Policy Change Would Bring Cash Piles Abroad Back Home,positive,0.636969804763794
2011-08-19,"Wall Street’s bulls got mauled again, but there were other stories that may have brightened up the week for some.",positive,0.3252289295196533
2011-08-19,We recount a few in poetic form.,neutral,-0.0026174671947956085
2011-08-19,"The Week That Was, in Verse",neutral,-0.043425559997558594
2011-08-20,"Computer makers are expected to ship only about 4 percent more PCs this year than last year, while tablets are flying off store shelves.",negative,-0.9274781346321106
2011-08-20,"As PCs Wane, Companies Look to Tablets",neutral,0.04909782484173775
2011-08-24,"These days, large technology companies — particularly those in the hypercompetitive smartphone and tablet industries — are cutting their losses with increasing speed.",neutral,0.12205418944358826
2011-08-24,Sell Big or Die Fast,neutral,-0.06375979632139206
2011-08-24,"Steven P. Jobs, the leader who propelled Apple to its current heights, is known for many things, but he was not really a deal maker.",neutral,0.04332022741436958
2011-08-24,"With Departure of Jobs, Will Apple Warm to Deal-Making?",neutral,0.27822020649909973
2011-08-24,"Apple said that Steven P. Jobs, its co-founder and chief executive, would step down, but wants to remain chairman.",neutral,-0.021821998059749603
2011-08-24,"Tim Cook, the chief operating officer, will take over the position.",neutral,0.01688237302005291
2011-08-24,Steven P. Jobs Leaves Chief Executive Role at Apple,neutral,-0.1258562058210373
2011-08-24,"Gather a throng of iPhone enthusiasts, add a sampling of photo-editing apps and a cocktail bar, and the result is an “Instawalk” followed by art.",neutral,0.07689456641674042
2011-08-24,"Strolling Artists, Bearing iPhones",neutral,0.05352326110005379
2011-08-25,"Steven P. Jobs, who has cancer, made Apple one of the world’s most valuable companies.",neutral,0.4384653568267822
2011-08-25,Timothy D. Cook will take over as chief executive.,neutral,0.02342688851058483
2011-08-25,"Jobs Steps Down at Apple, Saying He Can’t Meet Duties",negative,-0.8215546607971191
2011-08-25,"No immediate changes to Apple products will be discernible with Mr. Jobs’s departure, but questions may arise in the future.",neutral,-0.04889340326189995
2011-08-25,"Without Its Master of Design, Apple Will Face Many Challenges",negative,-0.5460640788078308
2011-08-25,Steven P. Jobs co-founded Apple Computer 35 years ago.,neutral,0.027623627334833145
2011-08-25,"Steven P. Jobs, Apple's Innovator",neutral,0.07268786430358887
2011-08-25,Warren Buffett’s investment in Bank of America was unable to turn the market around in the face of rising jobless claims.,negative,-0.9499475359916687
2011-08-25,Shares Fall as Hopes Fade for New Action by Fed and Jobless Claims Rise,negative,-0.8715434670448303
2011-08-25,"Apple said that Steven P. Jobs, its co-founder and chief executive, would step down, but wants to remain chairman.",neutral,-0.021821998059749603
2011-08-25,"Tim Cook, the chief operating officer, will take over the position.",neutral,0.01688237302005291
2011-08-25,Steven P. Jobs Leaves Chief Executive Role at Apple,neutral,-0.1258562058210373
2011-08-25,The patents that carry Steven Jobs’s name help reveal a chief executive whose design choices reached into every corner of the company.,neutral,0.04754188284277916
2011-08-25,"A Chief Executive’s Attention to Detail, Noted in 313 Patents",neutral,0.06421905755996704
2011-08-25,Many hedge fund managers count the technology giant among their top stock holdings — and it has paid off.,positive,0.6828925609588623
2011-08-25,Will Apple Remain a Hedge Fund Favorite?,neutral,0.09018415957689285
2011-08-25,The news that Steven Jobs would would step down as chief executive of Apple is being noted by senior agency managers as they assess the effect that his departure will have on the company’s brand.,neutral,-0.36616259813308716
2011-08-25,"On Madison Avenue, Talk of Jobs’s Legacy",neutral,-0.2466736137866974
2011-08-26,Steve Jobs’s decision to step down as chief executive of Apple brought some people to tears and inspired loving tributes to him on the Web.,neutral,-0.0814698338508606
2011-08-26,"Where Some Earn Enmity, Jobs Won Affection",negative,-0.38872241973876953
2011-08-26,"As Timothy D. Cook takes over as Apple’s chief executive, followers of the company wonder how he will react to the spotlight and the scrutiny.",neutral,-0.35353660583496094
2011-08-26,"Big Shoes at Apple, but Maybe Not Unfillable",neutral,-0.0030632615089416504
2011-08-27,"Apple announced the rental plan last fall as an experiment to encourage sales of shows through iTunes, but rentals did not take off as hoped.",positive,0.500420868396759
2011-08-27,Apple Ends Its TV Episode Rental Service,neutral,-0.29867708683013916
2011-08-27,"A look at the latest Weekend Business podcast, and a listen.",neutral,0.031578242778778076
2011-08-27,"Podcast: Bernanke, the Budget and Steve Jobs",neutral,-0.04701043665409088
2011-08-27,"Again and again, Steve Jobs would step up to entrenched players in media and explain their business to them in ways they didn’t recognize from the inside.",neutral,0.15970918536186218
2011-08-27,Steve Jobs Reigned in a Kingdom of Altered Landscapes,neutral,-0.08466103672981262
2011-08-30,"The co-founder of Apple, who stepped down as chief executive last week, has focused on his work and family, not philanthropy.",neutral,-0.01631627231836319
2011-08-30,The Mystery of Steve Jobs’s Public Giving,neutral,-0.23531635105609894
2011-09-01,Environmentalists released a report documenting what they said was pollution from “suspected” Apple suppliers throughout China.,negative,-0.8332747220993042
2011-09-01,Apple Cited as Adding to Pollution in China,negative,-0.7043538689613342
2011-09-01,"Eddy Cue will now also be in charge of iCloud and iAd, the Apple mobile ad system.",neutral,0.034638192504644394
2011-09-01,Long-Time iTunes Chief Moves Up at Apple,neutral,0.26396307349205017
2011-09-05,"Samsung said it acted after a court in Düsseldorf, Germany, granted Apple’s request to prohibit sales and marketing of the product, Galaxy Tab 7.7.",negative,-0.7926344871520996
2011-09-05,Samsung Removes Tablet From Trade Show After Injunction,negative,-0.8638967275619507
2011-09-06,"Jaguar Financial, a small Canadian merchant bank, is pushing for the board of Research in Motion to explore options to increase the company’s share price, including a potential sale or spinoff of its patent portfolio.",positive,0.7834867835044861
2011-09-06,Activist Fund Calls for Breakup of BlackBerry Maker,neutral,-0.14181384444236755
2011-07-08,"Cases in the United States and Brazil are pursuing connections between an Atlanta-area businessman and trafficking in underage girls along the Amazon, according to court papers.",negative,-0.8693066239356995
2011-07-08,Allegations Link U.S. Companies to Brazilian Sex Tourism,negative,-0.852603554725647
2011-07-12,"The state passed a law that says online companies must collect sales tax on purchases by Californians, which an antitax group is trying to roll back.",neutral,0.18110361695289612
2011-07-12,Amazon Backs End to Online Sales Tax in California,neutral,-0.07851339876651764
2011-07-14,Amazon has an ambitious and far-reaching new agenda: it wants to rewrite tax policy for the Internet era.,neutral,0.13164295256137848
2011-07-14,Amazon Takes On California,neutral,0.07188289612531662
2011-07-29,"Amazon announced a deal for access to part of Universal’s film library, its second such pact in streaming video in as many weeks.",positive,0.8852202892303467
2011-07-29,"In Deal With NBC, Amazon Seeks to Widen Its Video Streaming Service",positive,0.7905832529067993
2011-08-17,"Amazon moved aggressively to fulfill its new ambition to publish books as well as sell them, announcing that it had signed Timothy Ferriss, the popular self-help guru.",positive,0.8535693883895874
2011-08-17,Amazon Set to Publish Pop Author,neutral,0.03990268334746361
2011-08-26,"After months of talks, Amazon is said to have signed a licensing deal with Sony for its “cloud” streaming service.",positive,0.9139280319213867
2011-08-26,Amazon Said to Strike Licensing Deal With Sony,neutral,0.44989582896232605
2011-09-04,"To avoid paying tens of millions of dollars, Amazon.com is seeking a voter referendum on whether online retailers should pay sales taxes.",neutral,-0.1372818797826767
2011-09-04,"In California, Amazon Pushes Hard to Kill a Tax",neutral,-0.1976059377193451
2011-09-08,"In a provisional agreement, Amazon agreed to start collecting sales tax a year from now.",positive,0.5871945023536682
2011-09-08,Amazon and California in Deal on Tax,neutral,-0.18099693953990936
2011-09-10,California lawmakers overwhelmingly approved a compromise bill giving Amazon.com a one-year reprieve from having to collect a sales tax from its customers in the state.,positive,0.7548940777778625
2011-09-10,California Lawmakers Give Amazon Tax Reprieve,neutral,-0.0033476650714874268
2011-07-01,The challenge to a new Boeing plant in South Carolina by a union in Seattle has turned into a political firefight between the foes and partisans of organized labor.,negative,-0.9303321242332458
2011-07-01,Boeing Labor Dispute Is Making New Factory a Political Football,negative,-0.7915513515472412
2011-07-20,"The order from Boeing and Airbus, which hasn’t sold new planes to American for years, is worth over $38 billion.",neutral,0.18805046379566193
2011-07-20,Jet Order by American Is a Coup for Boeing’s Rival,neutral,-0.20956598222255707
2011-07-27,The company said it remained on track to deliver its first 787 Dreamliner passenger jet and 747-8 air freighter in the third quarter.,positive,0.7355386018753052
2011-07-27,Improved Sales Help Boeing Beat Forecasts,positive,0.8068989515304565
2011-08-01,"The president of American Airlines is hoping for an eventual merger with British Airways, and expects to see a relaxing of United States foreign ownership rules that will let such a deal happen.",neutral,0.39847004413604736
2011-08-01,American Airlines Hopes for a B.A.,neutral,0.413995623588562
2011-08-01,Merger,neutral,0.04256719350814819
2011-08-10,"Singapore Airlines and Cathay Pacific, which is based in Hong Kong, announced purchases from Boeing totaling 20 aircraft at list prices of about $5.6 billion.",positive,0.5861423015594482
2011-08-10,2 Asian Carriers Disclose Big Orders,neutral,-0.1820957362651825
2011-07-01,"Thomas J. Curry will be nominated to lead the Office of the Comptroller of the Currency, a banking regulator whose acting chief has been criticized by Democrats as obstructing reforms.",neutral,-0.36719146370887756
2011-07-01,Official From F.D.I.C.,neutral,-0.18477122485637665
2011-07-01,Picked To Lead Banking Regulator,neutral,0.0719500482082367
2011-07-02,"After a theft involving home loans, should lenders bear any blame?",negative,-0.7703694701194763
2011-07-02,That’s at issue in a case now in a New York State court.,neutral,-0.09245040267705917
2011-07-02,The Swindler and the Home Loans,neutral,-0.26750102639198303
2011-07-03,Two of the nation’s biggest lenders are quietly modifying loans for tens of thousands of borrowers who have not asked for help but whom the banks deem to be at special risk.,negative,-0.36979085206985474
2011-07-03,Big Banks Easing Terms on Loans Deemed as Risks,negative,-0.21760927140712738
2011-07-08,LivingSocial gave the much-coveted lead underwriter positions for its forthcoming I.P.O.,neutral,0.4647594690322876
2011-07-08,"to Deutsche Bank, JPMorgan Chase and Bank of America Merrill Lynch.",neutral,-0.0021431539207696915
2011-07-08,LivingSocial Taps 3 Banks to Lead Its I.P.O.,neutral,0.41262567043304443
2011-07-12,"As part of its $8.5 billion settlement with investors, Bank of America will turn over the work on tens of thousands of troubled mortgages to smaller servicers.",neutral,0.0598733052611351
2011-07-12,Bank’s Deal Means More Will Lose Their Homes,negative,-0.7928218841552734
2011-07-13,The New York attorney general asked for information about the $8.5 billion settlement agreed to by Bank of America and investment firms holding soured mortgage securities.,neutral,0.22269737720489502
2011-07-13,Bank of America’s Mortgage Deal Questioned,neutral,0.022103287279605865
2011-07-14,Robust gains in almost all of JPMorgan Chase’s main businesses offered hope that the banking industry’s prospects were not as bad as feared.,positive,0.8814787268638611
2011-07-14,"JPMorgan Posts $5.4 Billion Profit, Beating Estimates",positive,0.426668643951416
2011-07-14,"Gary Lynch, who started this week as global head of legal, compliance and regulatory relations, received just over 415,000 restricted stock units of Bank of America.",neutral,-0.0644943118095398
2011-07-14,$4 Million Welcome for Lynch at Bank of America,neutral,0.07988674193620682
2011-07-16,Banks have so far written down only a small portion of their second-lien mortgage loans.,negative,-0.8067730665206909
2011-07-16,"As home values in some areas continue to sink, more losses may be in store.",negative,-0.944284200668335
2011-07-16,"2nd Loans, 2nd Wave of Losses",negative,-0.4489644467830658
2011-07-18,Officials on Monday were discussing a proposal for a special levy to ensure that banks shared part of the cost of helping Greece a second time.,neutral,0.2779167592525482
2011-07-18,European Governments Consider a Bank Tax to Finance Greek Bailout,neutral,0.03777291998267174
2011-07-19,The bank doled out huge payments to settle legal claims related to its troubled mortgage division.,positive,0.3019552528858185
2011-07-19,"The loss was steep, but it was fully baked into expectations.",negative,-0.12393432855606079
2011-07-19,"At Bank of America, an $8.8 Billion Loss",neutral,-0.18212777376174927
2011-07-20,"The sluggish economy is causing consumers to cut back on mortgages, credit card and other types of consumer loans.",negative,-0.9394283890724182
2011-07-20,Weak Recovery Weighs on Bank of America and Wells Fargo,negative,-0.9386409521102905
2011-07-20,"After 18 months as Bank of America’s chief, Brian Moynihan hasn’t convinced investors that he is turning the bank around.",negative,-0.5149142742156982
2011-07-20,Time Running Out for a Bank Chief,negative,-0.3524285554885864
2011-07-22,European leaders now accept that the Continent has a responsibility not just to prevent collapse but to get the Greek economy moving again.,positive,0.5575123429298401
2011-07-22,"To Preserve Its Currency Union, Europe Needs a Financial Union",neutral,0.17130914330482483
2011-07-24,"Italy and Spain are major guarantors, but they may be next in line for aid if Europe’s debt crisis deepens.",neutral,-0.030395299196243286
2011-07-24,Europe’s Troubled Economies Join the Rescue Team,neutral,0.10344399511814117
2011-07-25,"Now that the quiet period for banks involved in the public offering has lifted, the company’s top underwriters, Morgan Stanley, JPMorgan Chase and Citigroup, all initiated coverage on Pandora.",neutral,0.1929786503314972
2011-07-25,A Mixed Reception for Pandora,negative,-0.6205926537513733
2011-07-26,"California lined up the loan as an emergency cushion in case it could not sell bonds because of turmoil from Washington’s failure to raise the debt ceiling, the state’s treasurer said.",neutral,0.35621434450149536
2011-07-26,California Secures $5.4 Billion Loan From 8 Banks,positive,0.6690459847450256
2011-07-27,"Bank stocks have been persistently weak, and the logical solution is that they shed business lines in a bid to improve their prospects in the eyes of Wall Street.",positive,0.5009074211120605
2011-07-27,"Once Unthinkable, Breakup of Big Banks Now Seems Feasible",negative,-0.5013266801834106
2011-07-28,"In the wake of the stellar debut of Dunkin’ Brands, a specialty tea retailer soars on its first day of trading, highlighting the robust investor demand for popular consumer brands.",positive,0.9057501554489136
2011-07-28,Teavana Soars on Debut,neutral,0.27242937684059143
2011-07-29,Mike Stewart will be co-heard of global securities and head of securities in the Americas for UBS.,neutral,0.01634928025305271
2011-07-29,UBS Hires Bank of America Executive,neutral,-0.0247989222407341
2011-07-29,"Dunkin’s underwriters, led by JPMorgan Chase, made $27,478,753 million in fees in its offering — or enough to buy 137.4 million Munchkins.",neutral,0.08126432448625565
2011-07-29,How Sweet It Is: $27 Million in Fees for Dunkin’s Underwriters,neutral,0.09524911642074585
2011-08-01,The Windstream Corporation has agreed to buy the broadband services provider Paetec Holding in a bid to build out its fiber network and cloud computing services.,positive,0.6976789236068726
2011-08-01,Windstream to Buy Paetec for $891 Million,neutral,0.031129788607358932
